id1,id2,ratings
cfg,conf,0.85
wrapper,scroller,0.48
userA,userB,0.92
columns,datasets,0.43
limit,exponent,0.36
onTouchStart,onTouchMove,0.79
sender,timeEnd,0.11
scaleX,scaleY,0.98
ui,secret,0.05
builtinConstants,buildinConstants,0.81
