id1,id2,ratings
setAttributeNode,createAttribute,0.40
Connection,Client,0.25
dom__FixedSizeListIterator,_dom_pos,0.31
v2,v3,0.31
container,submenu,0.33
children,columns,0.34
items,tiles,0.35
trim,separatedList,0.19
minVal,minValue,0.95
push,ts,0.10
expect,assume,0.77
btnModify,btnSetValue,0.60
nodeLinkFn,childLinkFn,0.75
setMinutes,setSeconds,0.22
obj1,obj2,0.65
destroy,clear,0.61
panelTitle,panelTitle1,0.92
__dependency1__,__dependency2__,0.46
ace,__ace_shadowed__,0.50
m1,m2,0.57
latitude,longitude,0.02
item,record,0.67
cols,rects,0.20
resetSize,popupFeatures,0.05
callback,cb,0.87
parentWindow,scanner,0.07
targetPopup,popupResizable,0.29
popupToolbar,popupDependent,0.18
cursor,intercept,0.05
split,shim,0.29
ranges,codes,0.20
generalTab,advancedTab,0.38
styleSelectLabel,cssClassInputLabel,0.61
getBorderWidth,getPadding,0.48
ELEMENT_NODE,TEXT_NODE,0.50
rlocalProtocol,rprotocol,0.70
listeners,cbs,0.12
tr,td,0.05
user,person,0.88
onPlay,onPause,0.17
topLevelTarget,topLevelTargetID,0.62
clientY,_keyStr,0.07
oMatchesSelector,msMatchesSelector,0.68
re,destruct,0.02
translateX,translateY,0.20
click,dblclick,0.23
columns,requests,0.15
a11,b12,0.21
pink,brown,0.04
floor,abs,0.11
math,miny,0.02
toggle,isLength,0.01
paddingRight,paddingTop,0.05
dataAndEvents,deepDataAndEvents,0.69
found,rawFunc,0.04
alpha,rate,0.12
layers,entries,0.30
keyup,deferId,0.13
material,light,0.08
controller,mutator,0.31
files,locations,0.44
files,problems,0.06
frames,markers,0.22
objects,shortcuts,0.12
a01,b11,0.20
defHeaders,defHeaderName,0.52
click,mouseup,0.52
inputs,resources,0.41
advice,alternative,0.07
body,currants,0.12
a12,a13,0.42
abs,sqrt,0.02
cells,segments,0.59
place,written,0.02
names,sources,0.58
Util,isParam,0.07
minx,ymax,0.12
segments,annotations,0.25
cols,domains,0.25
ELEMENT_ARRAY_BUFFER,bufferData,0.48
cfg,conf,0.97
userA,userB,0.48
columns,datasets,0.19
limit,exponent,0.18
oDomRef,structuralType,0.08
camera,texture,0.06
selected,active,0.73
rows,columns,0.07
nextTick,notification,0.17
ui,secret,0.06
