Identifier,function-count,property-count,variable-count,others-count
touchend,24,115,0,220
pseudoclasses,0,61,1,150
nexttick,1409,608,1,215
shortcuts,14,64,18,175
intercept,57,19,4,30
fullname,106,289,74,1346
trow,0,0,14,142
utils,28,7972,9341,1909
advisorytitleinputlabel,0,0,0,90
paneltitle,6,12,0,449
xmax,0,97,0,368
gray,10,37,0,162
disableddatestext,0,23,0,162
a24,0,22,0,81
renderer,239,4384,2069,1765
contextmenu,127,569,504,306
filename,47,1828,431,5599
deltax,134,311,9,760
timeend,187,29,0,12
inputs,8,718,431,1027
names,18,570,1215,5371
shim,56,676,223,583
setscrolltop,301,29,0,19
equal,53413,314,0,384
buildinconstants,0,0,15,111
styleselectlabel,0,1,0,90
scanner,36,26,468,95
img,30,496,2698,3040
foundstarmap,0,0,0,125
frames,9,893,248,1650
listeners,286,1109,1493,3602
hspace,0,34,0,257
found,23,161,1063,6580
popupfeatures,0,4,9,102
ciphertext,0,8,30,126
username,73,1512,52,2178
ondragend,16,38,3,60
person,46,84,277,387
deepdataandevents,0,0,0,2575
teal,0,0,0,104
targetframename,0,6,0,95
group,604,3339,3399,8491
date,18421,4592,13166,14112
defheadername,0,0,0,115
popupdependent,0,6,0,92
_dispatchids,0,158,0,0
agg,7,7,20,368
obj2,0,1,109,520
cx,78,439,568,2331
advice,23,109,47,210
destroy,4966,1851,30,2704
blendmode,0,194,11,103
searches,0,96,10,42
ypos,13,21,6,414
int16array,37,148,1,41
clienty,1,2050,1,510
φ0,0,0,0,484
setinstanceprop,121,0,0,0
rendertostaticmarkup,5,56,0,41
btnsetvalue,0,0,0,93
lastname,39,135,1,436
ymin,0,102,0,400
popuptoolbar,0,6,0,92
split,29035,417,263,1533
material,44,1074,3067,2080
dataandevents,0,0,0,3074
cssclassinputlabel,0,0,0,90
util,9,11296,8768,2376
push,120238,3471,2570,3015
me,26,119,27498,10345
same,1096,44,129,412
author,6,311,52,503
minvalue,2,348,0,527
sender,41,210,240,647
alignmiddle,0,5,0,106
immediate,11,70,15,635
ymax,0,108,0,443
functiondeclaration,13,47,8,103
eql,2729,43,0,46
disabled,133,8201,188,3283
isparam,48,59,0,49
mapresult,0,24,14,84
ilen,0,0,0,1562
codes,8,82,122,268
array_buffer,0,1082,0,10
tracker,10,178,246,213
pseudoelements,1,58,0,114
remove,18623,2809,168,5091
setinterval,1884,330,1,204
li,21,115,1238,1806
click,5612,2107,72,1582
allocate,1976,6,0,6
id:$behaviour,0,257,0,0
element_array_buffer,0,311,0,0
getutcminutes,305,15,0,9
targetpopup,0,3,0,92
raw,209,758,930,8305
dispatchids,0,0,15,165
msmatchesselector,1,411,0,0
rows,40,3079,1096,3689
g,1021,3273,6777,14120
images,20,387,302,610
currange,0,0,40,176
rangy,0,67,118,16
pink,0,1,0,108
domrange,10,19,48,34
__dependency1__,0,0,93,363
expressionstatement,16,46,0,45
s1,0,85,292,1882
image,906,2275,1568,3141
dm,0,470,84,144
pages,4,769,293,690
abc,3,40,1,72
vspace,0,33,0,243
addcls,252,3,8,21
paddingright,0,141,0,110
user,403,2795,2994,4703
adjusted_scale,0,94,0,188
entry,89,364,2892,4015
locations,5,179,134,391
bar,202,726,559,1423
black,10,176,2,299
prefixwith,151,1,0,4
lightgreen,0,1,0,104
filenames,0,44,46,113
endsymbol,64,54,34,270
menus,6,128,93,193
y,1597,42309,30792,57939
minval,0,16,0,132
onplay,20,125,2,58
toggle,1083,805,99,1965
rchecked,0,0,424,372
currentblendmode,0,205,0,24
translatey,15,68,0,265
limit,140,879,61,3335
popupresizable,0,6,0,92
translatex,16,70,1,299
uint16array,196,165,8,75
left,300,24935,2462,26245
paneltitle1,0,0,0,93
alignright,12,12,0,146
rlocalprotocol,0,0,206,206
exponent,23,102,5,411
azimuthal,14,6,44,32
res,57,579,11302,16349
host,83,2903,2678,3512
targ,0,0,54,110
childlinkfn,56,0,0,285
cfg,9,2315,2476,2126
secret,20,158,23,500
entries,187,718,399,1123
annotations,2,87,123,402
namesegment,0,0,0,130
sx,0,308,3,1537
texture,255,2678,1935,1538
emptytext,0,175,0,180
notification,204,304,1010,612
links,23,539,973,1102
magenta,15,35,0,118
files,61,1831,1085,4052
tr,62,296,949,2157
colours,0,89,12,61
_dom_pos,0,144,0,0
data,22053,36188,38287,117627
getanimation,124,3,0,9
advancedtab,0,6,0,86
resp,1,44,935,2061
λ0,0,0,0,503
peer,13,95,149,228
omatchesselector,1,396,0,0
objects,1,1150,549,1362
b12,0,0,1,113
body,589,19878,8473,19011
cbs,0,13,94,224
longitude,0,532,0,170
players,2,357,68,141
on,37813,2230,236,2169
tiles,0,170,62,156
arrayclass,1,0,0,312
navy,0,7,0,140
fuchsia,0,0,0,120
decrypt,90,33,7,48
bp,0,5,1148,1442
records,2,586,459,1697
depot,0,1,120,1
focus,6059,1492,99,1968
configure,541,114,39,226
userid,195,557,15,1286
editable,117,712,275,724
change,968,802,1541,2332
_queuehooks,827,1,0,345
events,283,11076,4088,14580
hide,9598,1505,50,2081
rawfunc,0,0,0,144
λ1,0,0,0,398
assume,187,0,0,3
topleveltarget,0,0,36,496
calendar,1647,511,835,988
btnmodify,0,0,0,93
trim,8126,1461,175,1077
silver,0,16,0,146
alternative,0,390,32,111
newtext,0,7,181,678
ln,11,94,68,2084
onadd,49,171,0,170
m1,3,58,817,1376
fontdata,0,219,0,17
orange,5,9,37,257
reactemptycomponent,0,0,59,62
a11,0,23,1,446
cosφ,0,0,0,304
setseconds,197,12,0,26
m2,16,53,234,1226
overlaponly,0,0,0,266
get,58742,4856,286,16021
elm,8,89,1570,3137
purple,0,16,0,158
that,1,54,30149,9918
cells,14,1122,287,1019
layers,7,1829,231,917
reset,2969,940,53,1849
v3,20,119,380,768
video,38,715,401,525
bottom,93,5588,90,4031
profiles,1,53,13,52
resources,7,351,248,445
connection,145,1311,2456,1641
a30,0,0,0,118
conf,13,636,3004,1910
len,37,456,21,47168
currants,0,72,0,44
tag_h4,0,0,0,91
math,5,2835,70471,1215
substring,12719,37,55,193
deferid,0,0,0,140
boolclass,0,0,0,262
sessionid,6,260,0,340
container,285,8577,6557,11279
round,7178,356,3,542
substr,10923,72,36,265
ontouchstart,47,167,1,85
prereq,363,3,1,44
mintext,0,37,0,267
oldselection,0,10,23,97
angle,223,1556,9,3556
paddingtop,75,129,0,174
text_node,0,300,0,87
columns,21,1945,391,1974
getinstanceprop,277,0,0,0
touchmove,32,105,0,201
clear,2572,1019,5,1350
scroller,25,1557,468,283
lightgrey,0,0,0,101
refresh,2010,490,28,1173
miny,8,280,2,1443
a01,0,0,0,353
expect,40296,378,116,2435
storage,260,1284,792,1133
canvas,73,4949,4251,3068
_selection,0,170,9,30
resize,1352,986,95,1166
linktab,0,1,0,93
object2,0,0,390,365
setminutes,322,16,0,44
nodelinkfn,71,0,285,334
rects,0,57,95,158
toolbar,98,1799,440,1776
todos,3,173,100,92
pushstackliteral,174,0,0,19
_keystr,0,68,44,20
setattributenode,171,3,0,7
sqrt,3137,90,1,103
floor,7998,251,5,273
id,2255,40366,2044,68667
keyup,315,151,2,281
ids,4,716,535,2047
store,588,3757,4398,4684
adapters,0,204,8,98
showing,1,102,0,83
idx,4,570,77,11987
children,6341,10103,1879,7476
popuplocationbar,0,3,0,92
foo,400,972,257,2360
traversecontext,0,0,0,265
padding,47,1421,374,3969
scaley,5,374,1,600
tasks,6,578,456,1363
screen,16,548,377,273
blockstatement,65,103,36,113
anchorname,9,5,0,117
ok,14215,935,44,1842
precondition,21,2,0,384
re,54,348,1148,4417
a03,0,0,0,214
datamin,2,176,0,84
onremove,68,164,12,166
written,1,17,7,167
nodes,262,2965,3433,8676
place,263,97,169,390
problems,0,62,14,36
start,4351,19437,6119,39414
authors,5,105,36,205
datasets,10,221,6,45
alert,2453,322,171,229
er,8,29,99,1960
dblclick,54,33,3,139
rate,11,208,39,514
streams,0,249,156,433
colspan,6,390,0,570
removecls,205,2,6,22
cursor,87,2313,8363,5154
brown,0,0,0,107
active,314,5109,421,3153
top,202,22488,803,17417
callexpression,71,63,1,49
indices,8,1243,414,1043
domains,0,72,54,169
ontouchmove,35,99,0,72
getborderwidth,152,16,24,29
_sel,1,0,95,84
ranges,1,1414,821,1971
mousedown,379,261,32,595
vertexformat,1,11,88,34
br,29,238,348,709
structuraltype,0,0,82,22
reactdomcomponent,22,0,47,97
__ace_shadowed__,0,0,306,0
thumb,7,474,147,270
hint,11,140,67,610
i,1040,1918,3526,622936
m21,0,26,0,344
submenu,0,96,85,189
olive,0,7,0,140
right,300,8239,1287,11861
ridx,0,0,0,62
dispose,2522,1011,7,482
ondragstart,46,101,3,76
startsymbol,64,54,34,280
selected,207,5817,798,7080
polyline,90,277,125,134
darkred,0,0,0,104
maxtext,0,39,0,266
a13,0,22,0,321
z,242,6503,699,7441
s2,10,85,316,1408
ace,0,166,1429,35
player,125,1074,1827,1045
defheaders,0,0,26,134
builtinconstants,0,0,12,90
preview,45,449,88,482
ui,242,18144,4110,2741
indx,0,0,2,814
begin,528,437,109,2701
cols,38,945,229,1666
equals,5200,567,4,371
span,68,219,1207,1711
components,16,999,1057,1318
b11,0,0,1,220
wrapper,129,1404,2643,2938
they_effects,0,0,0,204
minx,18,291,6,1448
emptymsg,0,11,0,88
modal,447,972,649,829
self_msgs,0,0,35,188
placeholder,35,1363,280,1534
m22,0,25,0,353
lines,46,2541,2810,5053
updatecomponent,28,26,0,58
camera,50,1561,1315,994
requests,4,471,135,372
child,564,991,8572,15622
reacttextcomponent,23,0,7,83
inlinestyleinputlabel,0,0,0,90
self,498,942,87671,34787
td,36,846,1004,2670
assignto,7,1,3,374
mouseup,276,178,1,351
response,304,1382,6574,12502
datamax,2,170,1,87
history,142,2555,2132,663
version,197,4363,359,6880
selectanchor,0,3,0,92
segments,7,293,475,840
latitude,0,546,0,175
positions,27,352,276,1267
onpause,17,177,1,52
total,101,1925,48,3681
element,3481,23335,27103,46440
second,55,1016,550,2789
