Type,File,Model,rho value,P-value
similarity,large,path_10.bin,0.19,0.001784554225518
similarity,large,path_25.bin,0.188,0.001985076751972
similarity,large,path_50.bin,0.215,0.000391264216548
similarity,large,path_300.bin,0.121,0.049034285991819
similarity,large,path_100.bin,0.169,0.005577662235214
similarity,large,levenshtein,0.31,6.45588112065776E-08
similarity,large,needleman_wunsch,0.283,9.5206052788175E-07
relatedness,large,ft_cbow_w5_100.vec,0.723,2.16580010725756E-48
relatedness,large,ft_cbow_w5_25.vec,0.706,3.32326918064477E-45
relatedness,large,ft_cbow_w5_50.vec,0.717,3.96569696966396E-47
relatedness,large,ft_cbow_ws5_300.model.vec,0.709,1.09421604897175E-45
relatedness,large,ft_cbow_w5_10.vec,0.666,1.2254121785946E-38
relatedness,large,ft_cbow_w5_200.vec,0.715,9.1965815511747E-47
relatedness,large,ft_cbow_w5_5.vec,0.572,1.22073030722782E-26
relatedness,large,ft_skip_w5_5.vec,0.544,8.37446039098254E-24
relatedness,large,ft_skip_w5_100.vec,0.687,4.90509047811895E-42
relatedness,large,ft_skip_w5_50.vec,0.663,3.46090080091707E-38
relatedness,large,ft_skip_w5_200.vec,0.699,5.14862047581547E-44
relatedness,large,ft_skip_w5_25.vec,0.658,1.70647739822279E-37
relatedness,large,ft_skip_ws5_300.model.vec,0.696,1.98976972264383E-43
relatedness,large,ft_skip_w5_10.vec,0.605,2.20679274648719E-30
relatedness,large,wv_cbow_100_w5.model,0.595,3.35432573800828E-29
relatedness,large,wv_cbow_25_w5.model,0.605,1.8498656805489E-30
relatedness,large,wv_cbow_50_w5.model,0.608,9.00979377193714E-31
relatedness,large,wv_cbow_10_w5.model,0.58,1.48863390888997E-27
relatedness,large,wv_cbow_300_w5.model,0.578,2.57499714033353E-27
relatedness,large,wv_cbow_5_w5.model,0.512,7.98281703123019E-21
relatedness,large,wv_cbow_200_w5.model,0.591,8.12881058075997E-29
relatedness,large,wv_sg_50_w5.model,0.589,1.57447439059504E-28
relatedness,large,wv_sg_25_w5.model,0.592,5.97666807933083E-29
relatedness,large,wv_sg_200_w5.model,0.572,1.24195273603922E-26
relatedness,large,wv_sg_100_w5.model,0.584,4.90710676425783E-28
relatedness,large,wv_sg_10_w5.model,0.554,8.15149010752325E-25
relatedness,large,wv_sg_300_w5.model,0.567,4.22405756171745E-26
relatedness,large,wv_sg_5_w5.model,0.514,5.14794221251316E-21
relatedness,large,path_5.bin,0.477,1.30178316906234E-16
relatedness,large,path_200.bin,0.545,4.35623923642431E-22
relatedness,large,path_150.bin,0.556,5.01488699383939E-23
relatedness,large,path_10.bin,0.527,1.67047334400493E-20
relatedness,large,path_25.bin,0.563,9.5910557637577E-24
relatedness,large,path_50.bin,0.599,2.23343835283314E-27
relatedness,large,path_300.bin,0.547,3.3060008046489E-22
relatedness,large,path_100.bin,0.569,2.59621635639609E-24
relatedness,large,levenshtein,0.482,2.25971174452027E-18
relatedness,large,needleman_wunsch,0.473,1.21949652342835E-17
similarity,medium,ft_cbow_w5_100.vec,0.395,1.16989681326727E-10
similarity,medium,ft_cbow_w5_25.vec,0.366,3.03700908916474E-09
similarity,medium,ft_cbow_w5_50.vec,0.372,1.67843272274661E-09
similarity,medium,ft_cbow_ws5_300.model.vec,0.393,1.5101762207118E-10
similarity,medium,ft_cbow_w5_10.vec,0.331,9.97630700586273E-08
similarity,medium,ft_cbow_w5_200.vec,0.392,1.60882653468131E-10
similarity,medium,ft_cbow_w5_5.vec,0.318,3.3045626009199E-07
similarity,medium,ft_skip_w5_5.vec,0.205,0.001192693136555
similarity,medium,ft_skip_w5_100.vec,0.306,9.61977387722921E-07
similarity,medium,ft_skip_w5_50.vec,0.28,7.79021447087365E-06
similarity,medium,ft_skip_w5_200.vec,0.318,3.33891020238857E-07
similarity,medium,ft_skip_w5_25.vec,0.261,3.2277393873826E-05
similarity,medium,ft_skip_ws5_300.model.vec,0.322,2.20258521952298E-07
similarity,medium,ft_skip_w5_10.vec,0.221,0.000454663262182
similarity,medium,wv_cbow_100_w5.model,0.261,3.30472353302571E-05
similarity,medium,wv_cbow_25_w5.model,0.253,5.90236690939409E-05
similarity,medium,wv_cbow_50_w5.model,0.266,2.25980515718186E-05
similarity,medium,wv_cbow_10_w5.model,0.237,0.000168152577948
similarity,medium,wv_cbow_300_w5.model,0.263,2.87314864579368E-05
similarity,medium,wv_cbow_5_w5.model,0.207,0.001058641968528
similarity,medium,wv_cbow_200_w5.model,0.28,7.99486953471685E-06
similarity,medium,wv_sg_50_w5.model,0.236,0.000183180448548
similarity,medium,wv_sg_25_w5.model,0.236,0.00018456750291
similarity,medium,wv_sg_200_w5.model,0.213,0.00076058589852
similarity,medium,wv_sg_100_w5.model,0.218,0.000576060499567
similarity,medium,wv_sg_10_w5.model,0.213,0.000747335523272
similarity,medium,wv_sg_300_w5.model,0.217,0.00059525060121
similarity,medium,wv_sg_5_w5.model,0.182,0.004138773817177
similarity,medium,path_5.bin,0.188,0.004256874801286
similarity,medium,path_200.bin,0.112,0.091776688424453
similarity,medium,path_150.bin,0.13,0.049532130891846
similarity,medium,path_10.bin,0.194,0.003237109218794
similarity,medium,path_25.bin,0.192,0.003468921474142
similarity,medium,path_50.bin,0.226,0.000560181124231
similarity,medium,path_300.bin,0.108,0.102083830483047
similarity,medium,path_100.bin,0.163,0.013787042024027
similarity,medium,levenshtein,0.314,4.56565422763705E-07
similarity,medium,needleman_wunsch,0.278,9.20162377762916E-06
relatedness,medium,ft_cbow_w5_100.vec,0.729,3.80555561250795E-42
relatedness,medium,ft_cbow_w5_25.vec,0.711,2.29711982926366E-39
relatedness,medium,ft_cbow_w5_50.vec,0.722,3.91578392926506E-41
relatedness,medium,ft_cbow_ws5_300.model.vec,0.71,4.11256222961231E-39
relatedness,medium,ft_cbow_w5_10.vec,0.667,3.38443556453544E-33
relatedness,medium,ft_cbow_w5_200.vec,0.722,5.19566216664096E-41
relatedness,medium,ft_cbow_w5_5.vec,0.596,3.7469428742263E-25
relatedness,medium,ft_skip_w5_5.vec,0.573,5.9736898273358E-23
relatedness,medium,ft_skip_w5_100.vec,0.707,1.08772928638503E-38
relatedness,medium,ft_skip_w5_50.vec,0.679,1.0190256002085E-34
relatedness,medium,ft_skip_w5_200.vec,0.713,1.42840432279956E-39
relatedness,medium,ft_skip_w5_25.vec,0.671,9.79115084615047E-34
relatedness,medium,ft_skip_ws5_300.model.vec,0.714,7.04903091745868E-40
relatedness,medium,ft_skip_w5_10.vec,0.62,1.21757244588964E-27
relatedness,medium,wv_cbow_100_w5.model,0.627,2.21109954572422E-28
relatedness,medium,wv_cbow_25_w5.model,0.647,1.22923638273138E-30
relatedness,medium,wv_cbow_50_w5.model,0.643,2.91673062058513E-30
relatedness,medium,wv_cbow_10_w5.model,0.62,1.19349006071894E-27
relatedness,medium,wv_cbow_300_w5.model,0.61,1.29933757714206E-26
relatedness,medium,wv_cbow_5_w5.model,0.562,6.11243250888932E-22
relatedness,medium,wv_cbow_200_w5.model,0.628,1.57734093950103E-28
relatedness,medium,wv_sg_50_w5.model,0.617,2.45446954592238E-27
relatedness,medium,wv_sg_25_w5.model,0.615,4.04498822846095E-27
relatedness,medium,wv_sg_200_w5.model,0.597,3.07301885420168E-25
relatedness,medium,wv_sg_100_w5.model,0.606,3.63491926153804E-26
relatedness,medium,wv_sg_10_w5.model,0.586,3.39136669681166E-24
relatedness,medium,wv_sg_300_w5.model,0.596,3.99510809808941E-25
relatedness,medium,wv_sg_5_w5.model,0.555,2.46911676674432E-21
relatedness,medium,path_5.bin,0.472,4.13856691247146E-14
relatedness,medium,path_200.bin,0.525,1.28811733342349E-17
relatedness,medium,path_150.bin,0.533,3.08439966984486E-18
relatedness,medium,path_10.bin,0.51,1.43735611641741E-16
relatedness,medium,path_25.bin,0.542,7.46815802333205E-19
relatedness,medium,path_50.bin,0.585,2.17667031978415E-22
relatedness,medium,path_300.bin,0.525,1.36917266107446E-17
relatedness,medium,path_100.bin,0.546,3.13420275806336E-19
relatedness,medium,levenshtein,0.472,4.21291937458254E-15
relatedness,medium,needleman_wunsch,0.469,6.75704280041542E-15
similarity,small,ft_cbow_w5_100.vec,0.376,5.37347356614245E-07
similarity,small,ft_cbow_w5_25.vec,0.377,5.26842999057334E-07
similarity,small,ft_cbow_w5_50.vec,0.371,8.0048714943321E-07
similarity,small,ft_cbow_ws5_300.model.vec,0.38,4.17246768986127E-07
similarity,small,ft_cbow_w5_10.vec,0.329,1.37902554478443E-05
similarity,small,ft_cbow_w5_200.vec,0.375,5.94172423276047E-07
similarity,small,ft_cbow_w5_5.vec,0.275,0.000321150978431
similarity,small,ft_skip_w5_5.vec,0.172,0.026057663899117
similarity,small,ft_skip_w5_100.vec,0.304,6.67154889929907E-05
similarity,small,ft_skip_w5_50.vec,0.276,0.000306017605661
similarity,small,ft_skip_w5_200.vec,0.323,2.11150426863239E-05
similarity,small,ft_skip_w5_25.vec,0.248,0.001239561521726
similarity,small,ft_skip_ws5_300.model.vec,0.333,1.09375031501368E-05
similarity,small,ft_skip_w5_10.vec,0.196,0.011302017280751
similarity,small,wv_cbow_100_w5.model,0.258,0.000762753709881
similarity,small,wv_cbow_25_w5.model,0.242,0.001627598867198
similarity,small,wv_cbow_50_w5.model,0.262,0.000635302399722
similarity,small,wv_cbow_10_w5.model,0.221,0.004113389447349
similarity,small,wv_cbow_300_w5.model,0.242,0.001604842039376
similarity,small,wv_cbow_5_w5.model,0.158,0.041906889295975
similarity,small,wv_cbow_200_w5.model,0.266,0.000508137324374
similarity,small,wv_sg_50_w5.model,0.216,0.005010762598677
similarity,small,wv_sg_25_w5.model,0.209,0.006672128261011
similarity,small,wv_sg_200_w5.model,0.185,0.016470743088748
similarity,small,wv_sg_100_w5.model,0.196,0.011296464314403
similarity,small,wv_sg_10_w5.model,0.17,0.028497402600352
similarity,small,wv_sg_300_w5.model,0.185,0.016560723408006
similarity,small,wv_sg_5_w5.model,0.147,0.058612941840361
similarity,small,path_5.bin,0.171,0.032980563584506
similarity,small,path_200.bin,0.075,0.352530618659359
similarity,small,path_150.bin,0.097,0.228056423480536
similarity,small,path_10.bin,0.2,0.012431063218989
similarity,small,path_25.bin,0.201,0.012277633867975
similarity,small,path_50.bin,0.233,0.003550344159764
similarity,small,path_300.bin,0.074,0.362948805023776
similarity,small,path_100.bin,0.152,0.058520673742215
similarity,small,levenshtein,0.323,2.07578699075773E-05
similarity,small,needleman_wunsch,0.304,6.34909995908927E-05
relatedness,small,ft_cbow_w5_100.vec,0.719,6.78317478095113E-28
relatedness,small,ft_cbow_w5_25.vec,0.717,1.33321623329223E-27
relatedness,small,ft_cbow_w5_50.vec,0.721,4.00373497137835E-28
relatedness,small,ft_cbow_ws5_300.model.vec,0.701,5.32722838248136E-26
relatedness,small,ft_cbow_w5_10.vec,0.663,1.54772246594916E-22
relatedness,small,ft_cbow_w5_200.vec,0.709,8.38006236599936E-27
relatedness,small,ft_cbow_w5_5.vec,0.587,7.64570139328549E-17
relatedness,small,ft_skip_w5_5.vec,0.524,3.55444574212032E-13
relatedness,small,ft_skip_w5_100.vec,0.7,6.99152520639984E-26
relatedness,small,ft_skip_w5_50.vec,0.661,2.66314889862688E-22
relatedness,small,ft_skip_w5_200.vec,0.71,6.49947482691185E-27
relatedness,small,ft_skip_w5_25.vec,0.643,7.66095439200005E-21
relatedness,small,ft_skip_ws5_300.model.vec,0.722,3.65983372815891E-28
relatedness,small,ft_skip_w5_10.vec,0.57,9.37776324348778E-16
relatedness,small,wv_cbow_100_w5.model,0.618,5.59564292366009E-19
relatedness,small,wv_cbow_25_w5.model,0.612,1.66834954592609E-18
relatedness,small,wv_cbow_50_w5.model,0.624,2.01251647071E-19
relatedness,small,wv_cbow_10_w5.model,0.577,3.30407678973455E-16
relatedness,small,wv_cbow_300_w5.model,0.594,2.53907872137554E-17
relatedness,small,wv_cbow_5_w5.model,0.506,2.98260807605643E-12
relatedness,small,wv_cbow_200_w5.model,0.613,1.39537175309381E-18
relatedness,small,wv_sg_50_w5.model,0.589,5.61830680284214E-17
relatedness,small,wv_sg_25_w5.model,0.583,1.29054008246236E-16
relatedness,small,wv_sg_200_w5.model,0.561,2.94363287703696E-15
relatedness,small,wv_sg_100_w5.model,0.577,3.50048470288309E-16
relatedness,small,wv_sg_10_w5.model,0.546,2.36325453343277E-14
relatedness,small,wv_sg_300_w5.model,0.561,3.09502569717443E-15
relatedness,small,wv_sg_5_w5.model,0.501,5.36425763878613E-12
relatedness,small,path_5.bin,0.423,4.19519832399239E-08
relatedness,small,path_200.bin,0.445,6.65643438660703E-09
relatedness,small,path_150.bin,0.456,2.41978449125482E-09
relatedness,small,path_10.bin,0.479,2.80401472243997E-10
relatedness,small,path_25.bin,0.494,6.23246976512366E-11
relatedness,small,path_50.bin,0.538,5.34717727817858E-13
relatedness,small,path_300.bin,0.443,8.15232587144964E-09
relatedness,small,path_100.bin,0.484,1.78857224012607E-10
relatedness,small,levenshtein,0.477,7.06679797500492E-11
relatedness,small,needleman_wunsch,0.49,1.8920948294621E-11
context,large,ft_cbow_w5_100.vec,0.331,7.32243851606126E-06
context,large,ft_cbow_w5_25.vec,0.303,4.39031652810335E-05
context,large,ft_cbow_w5_50.vec,0.317,1.78446771654617E-05
context,large,ft_cbow_ws5_300.model.vec,0.318,1.66753690022383E-05
context,large,ft_cbow_w5_10.vec,0.298,5.883019956903E-05
context,large,ft_cbow_w5_200.vec,0.315,2.10570680893468E-05
context,large,ft_cbow_w5_5.vec,0.206,0.005986032551931
context,large,ft_skip_w5_5.vec,0.157,0.036887431060876
context,large,ft_skip_w5_100.vec,0.259,0.000515387370263
context,large,ft_skip_w5_50.vec,0.245,0.001041540256207
context,large,ft_skip_w5_200.vec,0.264,0.000399502394488
context,large,ft_skip_w5_25.vec,0.22,0.00327983473787
context,large,ft_skip_ws5_300.model.vec,0.268,0.000317339062532
context,large,ft_skip_w5_10.vec,0.182,0.015361556020185
context,large,wv_cbow_100_w5.model,0.232,0.001901957262951
context,large,wv_cbow_25_w5.model,0.216,0.003924117561853
context,large,wv_cbow_50_w5.model,0.212,0.004794838966386
context,large,wv_cbow_10_w5.model,0.237,0.00155256466946
context,large,wv_cbow_300_w5.model,0.237,0.001543416726898
context,large,wv_cbow_5_w5.model,0.214,0.004435497113351
context,large,wv_cbow_200_w5.model,0.236,0.001593743934665
context,large,wv_sg_50_w5.model,0.19,0.011512519070308
context,large,wv_sg_25_w5.model,0.194,0.00997562153541
context,large,wv_sg_200_w5.model,0.171,0.02339774854547
context,large,wv_sg_100_w5.model,0.197,0.008658322661445
context,large,wv_sg_10_w5.model,0.171,0.023576870152301
context,large,wv_sg_300_w5.model,0.156,0.038642481249228
context,large,wv_sg_5_w5.model,0.125,0.098230081739088
context,large,path_5.bin,0.217,0.005644539801101
context,large,path_200.bin,0.177,0.02482411548534
context,large,path_150.bin,0.219,0.005213764297575
context,large,path_10.bin,0.226,0.003909708454052
context,large,path_25.bin,0.263,0.000763355413032
context,large,path_50.bin,0.271,0.000515682498943
context,large,path_300.bin,0.174,0.027613025058393
context,large,path_100.bin,0.253,0.001182204757999
context,large,levenshtein,0.248,0.000894772044267
context,large,needleman_wunsch,0.256,0.000598260999489
context,medium,ft_cbow_w5_100.vec,0.349,1.71863900000118E-05
context,medium,ft_cbow_w5_25.vec,0.333,4.27141725531266E-05
context,medium,ft_cbow_w5_50.vec,0.342,2.54733345627337E-05
context,medium,ft_cbow_ws5_300.model.vec,0.346,2.00200761023757E-05
context,medium,ft_cbow_w5_10.vec,0.333,4.17714840632852E-05
context,medium,ft_cbow_w5_200.vec,0.335,3.75834938922644E-05
context,medium,ft_cbow_w5_5.vec,0.226,0.006208196031312
context,medium,ft_skip_w5_5.vec,0.199,0.01643889380231
context,medium,ft_skip_w5_100.vec,0.291,0.000380100154748
context,medium,ft_skip_w5_50.vec,0.283,0.000569769247678
context,medium,ft_skip_w5_200.vec,0.283,0.000560418671241
context,medium,ft_skip_w5_25.vec,0.247,0.002727022952124
context,medium,ft_skip_ws5_300.model.vec,0.29,0.000396636137635
context,medium,ft_skip_w5_10.vec,0.22,0.007932893260827
context,medium,wv_cbow_100_w5.model,0.274,0.000866982918671
context,medium,wv_cbow_25_w5.model,0.257,0.00176929129445
context,medium,wv_cbow_50_w5.model,0.252,0.002189772458106
context,medium,wv_cbow_10_w5.model,0.27,0.001001461901839
context,medium,wv_cbow_300_w5.model,0.277,0.000738607749855
context,medium,wv_cbow_5_w5.model,0.253,0.002125641700967
context,medium,wv_cbow_200_w5.model,0.28,0.000646257251693
context,medium,wv_sg_50_w5.model,0.214,0.009744042512036
context,medium,wv_sg_25_w5.model,0.218,0.008588542205841
context,medium,wv_sg_200_w5.model,0.201,0.015502304793224
context,medium,wv_sg_100_w5.model,0.221,0.007479530622626
context,medium,wv_sg_10_w5.model,0.208,0.011920450663584
context,medium,wv_sg_300_w5.model,0.185,0.026007656453385
context,medium,wv_sg_5_w5.model,0.167,0.044642499453266
context,medium,path_5.bin,0.211,0.01573597001179
context,medium,path_200.bin,0.173,0.048053028352057
context,medium,path_150.bin,0.219,0.011802140087852
context,medium,path_10.bin,0.21,0.01612094419995
context,medium,path_25.bin,0.27,0.001787541833046
context,medium,path_50.bin,0.276,0.001407143757906
context,medium,path_300.bin,0.171,0.050434182887681
context,medium,path_100.bin,0.251,0.003782270400869
context,medium,levenshtein,0.275,0.000829357149066
context,medium,needleman_wunsch,0.277,0.000753631441926
context,small,ft_cbow_w5_100.vec,0.364,6.36208105306992E-05
context,small,ft_cbow_w5_25.vec,0.346,0.000150924952196
context,small,ft_cbow_w5_50.vec,0.362,7.09851495179905E-05
context,small,ft_cbow_ws5_300.model.vec,0.347,0.000144464798876
context,small,ft_cbow_w5_10.vec,0.348,0.000140800018345
context,small,ft_cbow_w5_200.vec,0.335,0.00025356520628
context,small,ft_cbow_w5_5.vec,0.221,0.017558191580102
context,small,ft_skip_w5_5.vec,0.2,0.032511018979979
context,small,ft_skip_w5_100.vec,0.302,0.00104514857353
context,small,ft_skip_w5_50.vec,0.3,0.001129612237554
context,small,ft_skip_w5_200.vec,0.311,0.000730618646545
context,small,ft_skip_w5_25.vec,0.262,0.00464029445575
context,small,ft_skip_ws5_300.model.vec,0.315,0.000595551553917
context,small,ft_skip_w5_10.vec,0.241,0.009554565415087
context,small,wv_cbow_100_w5.model,0.289,0.00175752091873
context,small,wv_cbow_25_w5.model,0.299,0.001180039038465
context,small,wv_cbow_50_w5.model,0.276,0.002832998748109
context,small,wv_cbow_10_w5.model,0.325,0.000388985337192
context,small,wv_cbow_300_w5.model,0.292,0.001537126813934
context,small,wv_cbow_5_w5.model,0.279,0.002575227354536
context,small,wv_cbow_200_w5.model,0.288,0.001776493034605
context,small,wv_sg_50_w5.model,0.245,0.00838160474471
context,small,wv_sg_25_w5.model,0.243,0.008773093402385
context,small,wv_sg_200_w5.model,0.224,0.016235832371491
context,small,wv_sg_100_w5.model,0.255,0.005934107595121
context,small,wv_sg_10_w5.model,0.244,0.00857890596287
context,small,wv_sg_300_w5.model,0.201,0.031150621338876
context,small,wv_sg_5_w5.model,0.186,0.046694016006657
context,small,path_5.bin,0.212,0.03365471580912
context,small,path_200.bin,0.224,0.024114241231432
context,small,path_150.bin,0.268,0.00665969809653
context,small,path_10.bin,0.213,0.032118283933997
context,small,path_25.bin,0.312,0.001497070079182
context,small,path_50.bin,0.319,0.001136471776031
context,small,path_300.bin,0.214,0.031290328332327
context,small,path_100.bin,0.304,0.001969511854338
context,small,levenshtein,0.302,0.001038479394301
context,small,needleman_wunsch,0.292,0.001564255136837
