id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
ReactDOMComponent,ReactTextComponent,0.5192,0.72,0.8138,0.94,0.94,0.86,0.68,0.43,0.82,0.82
λ0,φ0,0.175,0.61,0.242,0.92,0.92,0.91,0.87,0.61,0.0,0.0
xMin,xMax,0.0227,0.9763,NAN,0.9,0.9,0.95,0.98,0.86,0.9,0.9
FunctionExpression,FunctionDeclaration,0.3125,0.8484,NAN,0.88,0.88,0.82,0.89,0.82,0.96,0.96
Lines,CurRange,0.325,0.428,NAN,0.58,0.58,0.68,0.87,0.71,0.39,0.39
foundMap,foundStarMap,0.7083,0.8266,NAN,0.91,0.91,0.86,0.94,0.74,0.89,0.89
columns,cols,0.9667,0.9654,NAN,0.78,0.78,0.81,0.79,0.72,0.83,0.83
dm,_queueHooks,0.1138,0.149,NAN,0.0,0.0,0.34,0.07,-0.02,0.3,0.3
fuchsia,pink,0.75,0.9134,0.9877,0.28,0.28,0.77,0.75,0.64,0.95,0.95
maxLine,maxLineLength,0.5833,0.805,0.7225,0.82,0.82,0.88,0.9,0.75,0.83,0.83
ExpressionStatement,FunctionDeclaration,0.3055,0.6534,NAN,0.66,0.66,0.67,0.73,0.49,0.92,0.92
addCls,removeCls,0.159,0.8346,NAN,0.85,0.85,0.92,0.98,0.85,0.96,0.96
object2,overlapOnly,0.0667,0.0294,NAN,0.44,0.44,0.67,0.74,0.57,0.46,0.46
_selection,_sel,0.9772,0.9763,NAN,0.81,0.81,0.82,0.67,0.45,0.45,0.45
alignCenter,alignMiddle,0.659,0.8346,0.5563,0.87,0.87,0.9,0.89,0.81,0.94,0.94
alignTop,popupLocationBar,0.125,0.2943,NAN,0.39,0.39,0.49,0.56,0.39,0.0,0.0
targetFrame,targetFrameName,0.8638,0.9054,0.935,0.91,0.91,0.93,0.89,0.71,0.81,0.81
angle,radians,0.6,0.922,0.9052,0.63,0.63,0.78,0.79,0.61,0.83,0.83
miny,ymin,1.0,0.811,NAN,0.48,0.48,0.81,0.7,0.5,0.9,0.9
equal,eql,0.9823,0.9815,0.983,0.7,0.7,0.79,0.69,0.7,0.72,0.72
item,entry,0.8333,0.792,0.9186,0.4,0.4,0.63,0.64,0.52,0.84,0.84
events,rchecked,0.1362,0.149,0.1819,0.19,0.19,0.31,0.22,-0.0,0.26,0.26
image,polyline,0.2205,0.3729,0.0247,0.2,0.2,0.44,0.37,0.15,0.75,0.75
img,thumb,0.7,0.8094,0.7658,0.45,0.45,0.6,0.43,0.36,0.7,0.7
player,peer,0.4545,0.669,NAN,0.53,0.53,0.64,0.53,0.35,0.68,0.68
files,profiles,0.159,0.2436,NAN,0.58,0.58,0.6,0.41,0.24,0.77,0.77
reset,clear,0.8845,0.8999,0.945,0.52,0.52,0.69,0.75,0.68,0.93,0.93
username,userid,0.6,0.9654,0.8685,0.72,0.72,0.79,0.64,0.43,0.65,0.65
clear,refresh,0.45,0.7054,NAN,0.55,0.55,0.66,0.73,0.57,0.81,0.81
disabled,Tracker,0.025,0.194,NAN,0.16,0.16,0.36,0.29,0.15,0.28,0.28
olive,darkred,0.0715,0.61,NAN,0.45,0.45,0.69,0.64,0.47,0.88,0.88
selectAnchor,anchorName,0.3125,0.675,NAN,0.6,0.6,0.73,0.85,0.69,0.99,0.99
names,filenames,0.625,0.7956,0.7983,0.62,0.62,0.64,0.44,0.12,0.78,0.78
setInterval,clearInterval,0.0715,0.9072,0.3411,0.89,0.89,0.9,0.96,0.85,0.9,0.9
getRules,foldingRules,0.3845,0.6799,0.0831,0.7,0.7,0.76,0.65,0.39,0.66,0.66
self_msgs,they_effects,0.0682,0.0546,0.2684,0.5,0.5,0.83,0.96,0.79,0.89,0.89
getInstanceProp,setInstanceProp,0.0,0.9199,0.0975,0.94,0.94,0.96,0.81,0.71,0.72,0.72
emptyText,blankText,0.8927,0.8885,0.966,0.67,0.67,0.73,0.7,0.59,0.92,0.92
minText,maxText,0.0,0.9628,0.1279,0.95,0.95,0.9,0.94,0.76,0.99,0.99
maxText,disabledDaysText,0.0,0.0684,NAN,0.66,0.66,0.72,0.92,0.71,0.93,0.93
disabledDaysText,disabledDatesText,0.3638,0.8817,0.6876,0.96,0.96,0.96,0.97,0.95,0.99,0.99
keywordMapper,buildinConstants,0.0625,0.09,NAN,0.41,0.41,0.65,0.81,0.59,0.77,0.77
VM,invokePartial,0.0333,0.1334,NAN,0.13,0.13,0.55,0.83,0.64,0.77,0.77
blendMode,currentBlendMode,0.75,0.9784,0.9186,0.79,0.79,0.88,0.81,0.58,0.79,0.79
touchmove,touchend,0.2167,0.844,NAN,0.91,0.91,0.94,0.96,0.87,0.97,0.97
bindBuffer,ARRAY_BUFFER,0.2812,0.6425,0.625,0.51,0.51,0.81,0.96,0.58,0.65,0.65
traverseContext,mapResult,0.4,0.48,NAN,0.36,0.36,0.58,0.87,0.52,0.68,0.68
_owner,nextElement,0.0227,0.0546,0.1838,0.28,0.28,0.59,0.79,0.39,0.36,0.36
m21,m22,0.159,0.7637,NAN,0.98,0.98,0.96,0.98,0.87,0.94,0.94
child,face,0.1073,0.3872,NAN,0.12,0.12,0.46,0.19,0.22,0.5,0.5
displayMsg,emptyMsg,0.1875,0.6966,NAN,0.47,0.47,0.8,0.77,0.66,0.88,0.88
pseudoElements,pseudoClasses,0.4545,0.811,NAN,0.71,0.71,0.75,0.77,0.54,0.99,0.99
lastName,firstName,0.0555,0.8989,0.3464,0.9,0.9,0.94,0.98,0.89,0.9,0.9
Int16Array,Uint16Array,0.4705,0.9542,NAN,0.91,0.91,0.91,0.92,0.59,0.83,0.83
startSymbol,endSymbol,0.044,0.9847,NAN,0.94,0.94,0.91,0.95,0.64,0.98,0.98
decrypt,ciphertext,0.3685,0.7949,NAN,0.63,0.63,0.77,0.83,0.63,0.58,0.58
rlocalProtocol,rurl,0.3027,0.5621,NAN,0.66,0.66,0.6,0.65,0.22,0.91,0.91
hSpace,popupFeatures,0.0155,0.1225,0.0,0.25,0.25,0.48,0.58,0.42,0.86,0.86
linkTab,alignMiddle,0.0892,0.1643,NAN,0.4,0.4,0.46,0.66,0.53,0.0,0.0
lockRatio,alignRight,0.0192,0.1599,0.231,0.47,0.47,0.45,0.58,0.34,0.74,0.74
substr,substring,1.0,0.9306,0.8889,0.91,0.91,0.86,0.89,0.88,0.97,0.97
columns,menus,0.3862,0.551,0.0404,0.35,0.35,0.5,0.44,0.13,0.52,0.52
history,$ERROR,0.0207,0.1984,NAN,0.16,0.16,0.33,0.18,-0.09,0.0,0.0
deltaX,deltaY,0.2857,0.9072,NAN,0.98,0.98,0.96,0.99,0.92,0.95,0.95
MINUTE,SECOND,0.125,0.9566,NAN,0.77,0.77,0.85,0.93,0.9,0.99,0.99
onDragStart,onDragEnd,0.1345,0.98,NAN,0.95,0.95,0.93,0.9,0.77,0.96,0.96
body,agg,0.0832,0.1115,NAN,0.17,0.17,0.55,0.18,0.0,0.36,0.36
rows,pages,0.1668,0.5234,NAN,0.41,0.41,0.62,0.47,0.44,0.81,0.81
store,storage,0.8333,0.9306,0.7382,0.72,0.72,0.71,0.7,0.51,0.77,0.77
angle,theta,0.75,0.811,0.9186,0.52,0.52,0.74,0.83,0.54,0.85,0.85
foo,bar,0.5208,0.6316,0.8168,0.71,0.71,0.83,0.85,0.57,0.8,0.8
DATE,MONTH,0.225,1.0,0.5943,0.65,0.65,0.75,0.8,0.56,0.89,0.89
modal,calendar,0.0207,0.025,NAN,0.27,0.27,0.44,0.31,0.26,0.6,0.6
ids,tasks,0.325,0.48,NAN,0.38,0.38,0.58,0.34,0.28,0.8,0.8
orange,pink,0.159,0.929,NAN,0.21,0.21,0.73,0.78,0.51,0.88,0.88
CallExpression,BlockStatement,0.2045,0.409,0.242,0.62,0.62,0.67,0.77,0.46,0.65,0.65
data,azimuthal,0.173,0.1599,0.401,0.28,0.28,0.45,0.15,-0.01,0.44,0.44
raw,movie,0.1,0.3066,0.276,0.05,0.05,0.39,0.23,-0.02,0.31,0.31
expect,bp,0.05,0.0294,0.1062,0.05,0.05,0.48,0.19,-0.15,0.07,0.07
utils,util,0.75,0.9763,0.9526,0.71,0.71,0.73,0.67,0.56,0.9,0.9
items,files,0.6042,0.5884,0.7505,0.3,0.3,0.59,0.51,0.41,0.77,0.77
disabled,visible,0.125,0.6284,NAN,0.36,0.36,0.51,0.53,0.49,0.74,0.74
round,sqrt,0.0418,0.545,NAN,0.6,0.6,0.78,0.67,0.61,0.76,0.76
teal,lightgrey,0.25,0.87,NAN,0.25,0.25,0.7,0.65,0.7,0.0,0.0
navy,lightblue,0.4167,0.9306,0.231,0.38,0.38,0.76,0.78,0.78,0.9,0.9
navy,lightgreen,0.125,0.74,NAN,0.31,0.31,0.75,0.74,0.75,0.94,0.94
navy,magenta,0.2115,0.8401,NAN,0.38,0.38,0.74,0.67,0.36,0.87,0.87
equal,cut,0.0455,0.1253,0.2049,0.09,0.09,0.51,0.31,0.01,0.34,0.34
start,begin,0.9375,0.9784,NAN,0.58,0.58,0.67,0.57,0.55,0.85,0.85
renderer,screen,0.475,0.662,NAN,0.28,0.28,0.46,0.44,0.31,0.64,0.64
visible,showing,0.8382,0.9082,NAN,0.55,0.55,0.7,0.51,0.46,0.66,0.66
foo,trow,0.2082,0.0684,NAN,0.22,0.22,0.62,0.18,-0.1,0.35,0.35
arrayClass,boolClass,0.1965,0.6472,NAN,0.65,0.65,0.76,0.81,0.47,0.97,0.97
me,br,0.159,0.1017,NAN,0.06,0.06,0.62,0.21,0.07,0.46,0.46
items,records,0.725,0.844,0.7983,0.47,0.47,0.58,0.61,0.51,0.85,0.85
items,ranges,0.2045,0.3383,NAN,0.24,0.24,0.55,0.47,0.32,0.78,0.78
bindBuffer,ELEMENT_ARRAY_BUFFER,0.25,0.48,0.276,0.49,0.49,0.79,0.87,0.42,0.63,0.63
dispatchIDs,_dispatchIDs,0.8215,0.9628,NAN,0.78,0.78,0.88,0.88,0.69,0.43,0.43
maroon,lightblue,0.0227,0.7163,0.1838,0.45,0.45,0.77,0.74,0.54,0.88,0.88
remove,focus,0.0578,0.0601,0.1062,0.27,0.27,0.6,0.59,0.54,0.75,0.75
getAnimation,depot,0.0385,0.04,NAN,0.19,0.19,0.57,0.81,0.65,0.59,0.59
nodes,filenames,0.2333,0.4974,NAN,0.39,0.39,0.46,0.31,0.16,0.63,0.63
cx,sx,0.3832,0.4106,NAN,0.45,0.45,0.77,0.54,0.29,0.68,0.68
records,entries,0.9062,0.8861,1.0,0.41,0.41,0.53,0.43,0.42,0.76,0.76
adjusted_scale,rangy,0.3333,0.48,0.242,0.27,0.27,0.39,0.22,-0.04,0.0,0.0
PLACEHOLDER,vertexFormat,0.075,0.09,0.299,0.23,0.23,0.27,0.04,0.0,0.44,0.44
vSpace,advisoryTitleInputLabel,0.0832,0.0814,0.0478,0.38,0.38,0.47,0.51,0.37,0.0,0.0
λ0,λ1,0.2,0.74,0.1838,0.92,0.92,0.95,0.95,0.71,0.0,0.0
start,searches,0.1155,0.1399,NAN,0.21,0.21,0.47,0.39,0.15,0.45,0.45
navy,purple,0.225,0.688,NAN,0.37,0.37,0.84,0.9,0.67,0.95,0.95
olive,pink,0.0625,0.5234,NAN,0.31,0.31,0.78,0.85,0.72,0.88,0.88
push,configure,0.0625,0.1334,NAN,0.06,0.06,0.49,0.32,-0.05,0.55,0.55
len,ln,0.8125,0.8539,0.8428,0.66,0.66,0.75,0.75,0.69,0.85,0.85
left,top,0.05,0.766,NAN,0.8,0.8,0.88,0.89,0.84,0.98,0.98
self,that,0.3035,0.4615,0.4594,0.28,0.28,0.7,0.65,0.64,0.88,0.88
y,z,0.4423,0.5801,NAN,0.58,0.58,0.86,0.73,0.68,0.84,0.84
element,elm,0.8655,0.9399,NAN,0.58,0.58,0.73,0.69,0.68,0.84,0.84
id,userid,0.7885,0.8401,0.8708,0.56,0.56,0.67,0.46,0.23,0.77,0.77
id,sessionid,0.7917,0.935,0.9169,0.41,0.41,0.55,0.41,0.2,0.71,0.71
equal,ok,0.3333,0.3934,NAN,0.7,0.7,0.8,0.67,0.63,0.76,0.76
container,video,0.2293,0.415,NAN,0.29,0.29,0.5,0.36,0.42,0.7,0.7
miny,ypos,0.2955,0.6927,0.0247,0.27,0.27,0.7,0.54,0.24,0.75,0.75
newLength,Group,0.0295,0.0211,0.1606,0.15,0.15,0.41,0.26,0.04,0.32,0.32
colspan,assignTo,0.0555,0.0754,0.29,0.1,0.1,0.39,0.18,0.04,0.08,0.08
setScrollTop,prefixWith,0.0832,0.1456,NAN,-0.15,-0.15,0.22,0.03,-0.13,0.84,0.84
getMinutes,getUTCMinutes,0.75,0.9277,0.9794,0.93,0.93,0.87,0.83,0.67,0.95,0.95
FONTDATA,FONTS,0.5667,0.8614,0.8931,0.92,0.92,0.92,0.98,0.95,0.75,0.75
ReactEmptyComponent,renderToStaticMarkup,0.0973,0.09,NAN,0.6,0.6,0.65,0.61,0.46,0.55,0.55
images,streams,0.25,0.636,0.0404,0.27,0.27,0.46,0.28,0.24,0.67,0.67
VERSION,geoJson,0.075,0.09,0.1606,0.16,0.16,0.32,0.08,-0.02,0.48,0.48
s1,s2,0.422,0.74,0.7833,0.97,0.97,0.96,0.98,0.89,0.89,0.89
precondition,prereq,0.85,0.9134,0.8173,0.57,0.57,0.75,0.93,0.72,0.86,0.86
setAttributeNode,createAttribute,0.4,0.7746,NAN,0.69,0.69,0.74,0.95,0.77,0.75,0.75
Connection,Client,0.25,0.4399,NAN,0.74,0.74,0.74,0.88,0.74,0.81,0.81
dom__FixedSizeListIterator,_dom_pos,0.3077,0.5801,NAN,0.46,0.46,0.64,0.94,0.9,0.0,0.0
v2,v3,0.3077,0.8001,NAN,0.85,0.85,0.9,0.9,0.5,0.91,0.91
container,submenu,0.3333,0.4366,0.242,0.28,0.28,0.49,0.27,0.21,0.78,0.78
children,columns,0.341,0.409,NAN,0.42,0.42,0.54,0.45,0.53,0.73,0.73
items,tiles,0.3542,0.4584,NAN,0.28,0.28,0.55,0.42,0.25,0.79,0.79
trim,separatedList,0.1912,0.3271,NAN,0.3,0.3,0.36,0.32,0.13,0.0,0.0
minVal,minValue,0.95,0.948,0.6913,0.84,0.84,0.89,0.6,0.4,0.77,0.77
push,ts,0.1043,0.1115,NAN,0.12,0.12,0.56,0.45,0.26,0.24,0.24
expect,assume,0.7708,0.805,0.7983,0.46,0.46,0.65,0.59,0.26,0.58,0.58
btnModify,btnSetValue,0.5962,0.72,0.8292,0.6,0.6,0.75,0.9,0.79,0.0,0.0
nodeLinkFn,childLinkFn,0.75,0.8601,0.8763,0.84,0.84,0.89,0.95,0.71,0.75,0.75
setMinutes,setSeconds,0.2167,0.896,0.0593,0.77,0.77,0.86,0.95,0.81,0.99,0.99
obj1,obj2,0.65,0.792,0.5967,0.97,0.97,0.96,0.97,0.84,0.85,0.85
destroy,clear,0.6138,0.7873,0.8296,0.55,0.55,0.69,0.73,0.65,0.93,0.93
panelTitle,panelTitle1,0.9167,0.9654,0.625,0.92,0.92,0.96,0.92,0.83,0.0,0.0
__dependency1__,__dependency2__,0.4605,0.9316,NAN,1.0,1.0,0.98,0.94,0.83,0.82,0.82
ace,__ace_shadowed__,0.5,0.818,0.3489,0.44,0.44,0.66,0.86,0.61,0.0,0.0
m1,m2,0.5735,0.8625,NAN,0.94,0.94,0.93,0.93,0.76,0.84,0.84
latitude,longitude,0.0167,0.9306,NAN,0.91,0.91,0.94,0.99,0.84,0.96,0.96
item,record,0.6667,0.7746,0.9662,0.29,0.29,0.57,0.54,0.41,0.77,0.77
cols,rects,0.2045,0.4563,NAN,0.41,0.41,0.66,0.37,0.28,0.76,0.76
resetSize,popupFeatures,0.05,0.1854,0.231,0.13,0.13,0.49,0.53,0.34,0.75,0.75
callback,cb,0.8655,0.8601,NAN,0.65,0.65,0.7,0.8,0.71,0.83,0.83
parentWindow,scanner,0.0715,0.0343,NAN,0.14,0.14,0.34,-0.16,-0.08,0.26,0.26
targetPopup,popupResizable,0.2885,0.5801,NAN,0.51,0.51,0.63,0.87,0.75,0.0,0.0
popupToolbar,popupDependent,0.1785,0.5915,0.3865,0.63,0.63,0.75,0.84,0.74,0.0,0.0
cursor,intercept,0.05,0.22,NAN,0.2,0.2,0.35,0.25,-0.04,0.33,0.33
split,shim,0.2917,0.3934,0.242,0.21,0.21,0.45,0.26,0.11,0.35,0.35
ranges,codes,0.2,0.428,0.0404,0.49,0.49,0.55,0.39,0.3,0.67,0.67
generalTab,advancedTab,0.375,0.87,0.0,0.63,0.63,0.76,0.96,0.9,0.98,0.98
styleSelectLabel,cssClassInputLabel,0.6138,0.669,0.8547,0.64,0.64,0.74,0.94,0.9,0.0,0.0
getBorderWidth,getPadding,0.4822,0.8328,0.5999,0.79,0.79,0.76,0.89,0.69,0.97,0.97
ELEMENT_NODE,TEXT_NODE,0.5,0.805,0.8147,0.82,0.82,0.79,0.88,0.82,0.94,0.94
rlocalProtocol,rprotocol,0.7,0.896,0.9428,0.92,0.92,0.78,0.71,0.27,0.81,0.81
listeners,cbs,0.125,0.142,0.143,0.55,0.55,0.62,0.6,0.45,0.76,0.76
tr,td,0.0455,0.811,NAN,0.81,0.81,0.82,0.79,0.68,0.77,0.77
user,person,0.8845,0.8401,0.8462,0.55,0.55,0.73,0.73,0.43,0.81,0.81
onPlay,onPause,0.172,0.87,NAN,0.83,0.83,0.83,0.79,0.54,0.94,0.94
topLevelTarget,topLevelTargetID,0.625,0.87,0.7658,0.91,0.91,0.94,0.87,0.58,0.63,0.63
clientY,_keyStr,0.0682,0.1017,NAN,0.2,0.2,0.41,0.25,-0.0,0.4,0.4
oMatchesSelector,msMatchesSelector,0.6833,0.8614,0.4824,0.92,0.92,0.96,0.95,0.79,1.0,1.0
re,destruct,0.0207,0.0684,0.0247,0.12,0.12,0.45,0.06,0.03,0.46,0.46
translateX,translateY,0.2045,0.9527,NAN,0.98,0.98,0.97,0.97,0.76,0.94,0.94
click,dblclick,0.2333,0.9654,NAN,0.75,0.75,0.75,0.66,0.51,0.82,0.82
columns,requests,0.1537,0.1599,NAN,0.24,0.24,0.49,0.31,0.12,0.75,0.75
a11,b12,0.2142,0.6284,0.1062,0.76,0.76,0.87,0.85,0.66,0.93,0.93
pink,brown,0.0358,0.7215,0.2204,0.38,0.38,0.74,0.8,0.68,0.91,0.91
floor,abs,0.1138,0.4563,NAN,0.65,0.65,0.82,0.78,0.73,0.9,0.9
math,miny,0.0192,0.3599,0.1581,0.47,0.47,0.63,0.35,0.13,0.35,0.35
toggle,isLength,0.0147,0.0057,0.1147,0.19,0.19,0.42,0.18,-0.1,0.32,0.32
paddingRight,paddingTop,0.05,1.0,NAN,0.89,0.89,0.88,0.85,0.6,0.94,0.94
dataAndEvents,deepDataAndEvents,0.6875,0.8375,0.8374,0.91,0.91,0.97,0.99,0.62,0.7,0.7
found,rawFunc,0.0385,0.0998,NAN,0.06,0.06,0.42,0.41,0.08,0.0,0.0
alpha,rate,0.125,0.22,NAN,0.37,0.37,0.59,0.57,0.41,0.71,0.71
layers,entries,0.2955,0.4327,NAN,0.38,0.38,0.5,0.51,0.33,0.67,0.67
keyup,deferId,0.1345,0.1399,NAN,0.19,0.19,0.46,0.31,0.08,0.43,0.43
material,light,0.0832,0.3414,NAN,0.51,0.51,0.65,0.65,0.42,0.71,0.71
controller,mutator,0.3125,0.3716,0.242,0.23,0.23,0.31,0.2,-0.01,0.55,0.55
files,locations,0.4423,0.48,0.8585,0.25,0.25,0.46,0.23,0.27,0.82,0.82
files,problems,0.0625,0.0738,NAN,0.29,0.29,0.56,0.47,0.36,0.78,0.78
frames,markers,0.2188,0.5611,NAN,0.11,0.11,0.35,0.13,0.19,0.69,0.69
objects,shortcuts,0.1168,0.1505,NAN,0.2,0.2,0.38,0.31,0.18,0.69,0.69
a01,b11,0.1965,0.48,NAN,0.8,0.8,0.9,0.83,0.59,0.94,0.94
defHeaders,defHeaderName,0.5208,0.9566,0.8124,0.82,0.82,0.9,0.92,0.77,0.5,0.5
click,mouseup,0.5168,0.9134,0.143,0.51,0.51,0.67,0.74,0.55,0.9,0.9
inputs,resources,0.4107,0.6284,0.7932,0.29,0.29,0.45,0.37,0.37,0.78,0.78
advice,alternative,0.0715,0.1271,NAN,0.26,0.26,0.35,0.28,0.1,0.71,0.71
body,currants,0.125,0.22,0.276,0.26,0.26,0.47,0.15,-0.06,0.5,0.5
a12,a13,0.4167,0.7616,NAN,0.96,0.96,0.97,0.96,0.79,0.98,0.98
abs,sqrt,0.0207,0.74,NAN,0.61,0.61,0.81,0.78,0.62,0.89,0.89
cells,segments,0.5893,0.7028,NAN,0.3,0.3,0.5,0.35,0.25,0.72,0.72
place,written,0.0227,0.1253,NAN,0.15,0.15,0.41,0.1,-0.1,0.42,0.42
names,sources,0.577,0.6001,0.3489,0.37,0.37,0.54,0.48,0.36,0.81,0.81
Util,isParam,0.075,0.168,NAN,0.27,0.27,0.52,0.38,0.05,0.4,0.4
minx,ymax,0.125,0.7028,0.0404,0.58,0.58,0.79,0.66,0.31,0.83,0.83
segments,annotations,0.25,0.3128,NAN,0.27,0.27,0.39,0.33,0.19,0.74,0.74
cols,domains,0.25,0.402,0.1819,0.19,0.19,0.47,0.25,0.14,0.72,0.72
ELEMENT_ARRAY_BUFFER,bufferData,0.4772,0.8583,0.875,0.51,0.51,0.75,0.9,0.63,0.55,0.55
cfg,conf,0.9667,0.896,0.9428,0.43,0.43,0.66,0.59,0.4,0.73,0.73
userA,userB,0.4822,0.9256,0.7958,0.95,0.95,0.94,0.98,0.93,0.97,0.97
columns,datasets,0.1922,0.4199,NAN,0.48,0.48,0.53,0.49,0.51,0.71,0.71
limit,exponent,0.1818,0.3383,NAN,0.19,0.19,0.5,0.35,0.3,0.77,0.77
oDomRef,structuralType,0.077,0.0,NAN,0.14,0.14,0.34,0.3,0.03,0.59,0.59
camera,texture,0.0578,0.1999,NAN,0.23,0.23,0.56,0.52,0.23,0.62,0.62
selected,active,0.7322,0.87,0.892,0.37,0.37,0.54,0.52,0.49,0.77,0.77
rows,columns,0.0715,0.87,0.2155,0.72,0.72,0.78,0.82,0.67,0.86,0.86
nextTick,notification,0.175,0.298,NAN,0.32,0.32,0.43,0.5,0.28,0.33,0.33
ui,secret,0.0625,0.0684,NAN,0.05,0.05,0.5,0.22,-0.0,0.54,0.54
objects,records,NAN,NAN,0.8931,0.5,0.5,0.58,0.52,0.54,0.77,0.77
objects,images,NAN,NAN,0.8986,0.33,0.33,0.58,0.54,0.36,0.73,0.73
items,images,NAN,NAN,0.8436,0.39,0.39,0.6,0.44,0.36,0.83,0.83
canvas,image,NAN,NAN,0.9397,0.47,0.47,0.68,0.67,0.46,0.71,0.71
indices,positions,NAN,NAN,0.983,0.29,0.29,0.59,0.49,0.5,0.71,0.71
files,filenames,NAN,NAN,0.9186,0.8,0.8,0.76,0.75,0.55,0.78,0.78
margin,padding,NAN,NAN,0.9369,0.62,0.62,0.74,0.69,0.64,0.87,0.87
$behaviour,foldingRules,NAN,NAN,0.0831,0.51,0.51,0.64,0.86,0.73,0.0,0.0
foo,abc,NAN,NAN,0.8196,0.44,0.44,0.78,0.64,0.45,0.76,0.76
g,r,NAN,NAN,0.8674,0.53,0.53,0.84,0.77,0.69,0.71,0.71
err,er,NAN,NAN,0.8889,0.74,0.74,0.8,0.72,0.6,0.9,0.9
res,resp,NAN,NAN,0.9224,0.68,0.68,0.81,0.68,0.51,0.9,0.9
gray,silver,NAN,NAN,0.1147,0.4,0.4,0.77,0.85,0.44,0.82,0.82
get,facets,NAN,NAN,0.208,0.09,0.09,0.48,0.25,0.02,0.3,0.3
files,images,NAN,NAN,0.807,0.47,0.47,0.6,0.5,0.38,0.78,0.78
b01,a03,NAN,NAN,0.0824,0.82,0.82,0.92,0.92,0.75,0.96,0.96
styleSelectLabel,tag_h4,NAN,NAN,0.1377,0.15,0.15,0.38,0.65,0.4,0.0,0.0
a24,a30,NAN,NAN,0.734,0.87,0.87,0.95,0.79,0.73,0.97,0.97
lightgreen,lightgrey,NAN,NAN,0.2172,0.94,0.94,0.97,0.95,0.97,0.0,0.0
destroy,dispose,NAN,NAN,0.3022,0.48,0.48,0.63,0.65,0.55,0.85,0.85
on,immediate,NAN,NAN,0.208,0.1,0.1,0.51,0.31,0.13,0.42,0.42
equals,same,NAN,NAN,0.7225,0.58,0.58,0.68,0.62,0.67,0.65,0.65
wrapper,scroller,NAN,NAN,0.0404,0.39,0.39,0.52,0.58,0.51,0.69,0.69
builtinConstants,buildinConstants,NAN,NAN,0.9023,0.91,0.91,0.92,0.92,0.82,0.97,0.97
