id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
img,thumb,0.6528,0.7531,0.7658,0.45,0.45,0.6,0.43,0.36,0.7,0.7
player,peer,0.45,0.5991,0.966,0.53,0.53,0.64,0.53,0.35,0.68,0.68
files,profiles,0.2668,0.3549,0.5678,0.58,0.58,0.6,0.41,0.24,0.77,0.77
reset,clear,0.897,0.9077,0.945,0.52,0.52,0.69,0.75,0.68,0.93,0.93
username,userid,0.603,0.954,0.8685,0.72,0.72,0.79,0.64,0.43,0.65,0.65
clear,refresh,0.4738,0.711,0.9717,0.55,0.55,0.66,0.73,0.57,0.81,0.81
disabled,Tracker,0.05,0.1457,NAN,0.16,0.16,0.36,0.29,0.15,0.28,0.28
olive,darkred,0.0938,0.6077,NAN,0.45,0.45,0.69,0.64,0.47,0.88,0.88
selectAnchor,anchorName,0.422,0.7385,0.9745,0.6,0.6,0.73,0.85,0.69,0.99,0.99
names,filenames,0.6562,0.8039,0.7983,0.62,0.62,0.64,0.44,0.12,0.78,0.78
setInterval,clearInterval,0.092,0.8624,0.3411,0.89,0.89,0.9,0.96,0.85,0.9,0.9
getRules,foldingRules,0.375,0.6224,0.0831,0.7,0.7,0.76,0.65,0.39,0.66,0.66
self_msgs,they_effects,0.0578,0.0748,0.2684,0.5,0.5,0.83,0.96,0.79,0.89,0.89
getInstanceProp,setInstanceProp,0.0,0.8954,0.0975,0.94,0.94,0.96,0.81,0.71,0.72,0.72
emptyText,blankText,0.8678,0.9077,0.966,0.67,0.67,0.73,0.7,0.59,0.92,0.92
minText,maxText,0.0735,0.9077,0.1279,0.95,0.95,0.9,0.94,0.76,0.99,0.99
maxText,disabledDaysText,0.0167,0.0586,NAN,0.66,0.66,0.72,0.92,0.71,0.93,0.93
disabledDaysText,disabledDatesText,0.3905,0.8692,0.6876,0.96,0.96,0.96,0.97,0.95,0.99,0.99
keywordMapper,buildinConstants,0.1332,0.1284,NAN,0.41,0.41,0.65,0.81,0.59,0.77,0.77
VM,invokePartial,0.0695,0.1284,NAN,0.13,0.13,0.55,0.83,0.64,0.77,0.77
blendMode,currentBlendMode,0.75,0.9038,0.9186,0.79,0.79,0.88,0.81,0.58,0.79,0.79
touchmove,touchend,0.2778,0.8256,0.6156,0.91,0.91,0.94,0.96,0.87,0.97,0.97
bindBuffer,ARRAY_BUFFER,0.3472,0.6658,0.625,0.51,0.51,0.81,0.96,0.58,0.65,0.65
traverseContext,mapResult,0.3958,0.4553,NAN,0.36,0.36,0.58,0.87,0.52,0.68,0.68
_owner,nextElement,0.0358,0.1595,0.1838,0.28,0.28,0.59,0.79,0.39,0.36,0.36
m21,m22,0.1345,0.7385,NAN,0.98,0.98,0.96,0.98,0.87,0.94,0.94
child,face,0.15,0.4247,NAN,0.12,0.12,0.46,0.19,0.22,0.5,0.5
displayMsg,emptyMsg,0.294,0.6925,NAN,0.47,0.47,0.8,0.77,0.66,0.88,0.88
pseudoElements,pseudoClasses,0.421,0.7246,0.851,0.71,0.71,0.75,0.77,0.54,0.99,0.99
lastName,firstName,0.075,0.8954,0.3464,0.9,0.9,0.94,0.98,0.89,0.9,0.9
Int16Array,Uint16Array,0.4625,0.9215,0.9195,0.91,0.91,0.91,0.92,0.59,0.83,0.83
startSymbol,endSymbol,0.0375,0.9738,NAN,0.94,0.94,0.91,0.95,0.64,0.98,0.98
decrypt,ciphertext,0.3625,0.8039,0.8173,0.63,0.63,0.77,0.83,0.63,0.58,0.58
rlocalProtocol,rurl,0.2738,0.5392,0.8272,0.66,0.66,0.6,0.65,0.22,0.91,0.91
hSpace,popupFeatures,0.0375,0.1501,0.0,0.25,0.25,0.48,0.58,0.42,0.86,0.86
linkTab,alignMiddle,0.1053,0.188,NAN,0.4,0.4,0.46,0.66,0.53,0.0,0.0
lockRatio,alignRight,0.0528,0.1467,0.231,0.47,0.47,0.45,0.58,0.34,0.74,0.74
substr,substring,1.0,0.9419,0.8889,0.91,0.91,0.86,0.89,0.88,0.97,0.97
columns,menus,0.327,0.5173,0.0404,0.35,0.35,0.5,0.44,0.13,0.52,0.52
history,$ERROR,0.0155,0.1663,NAN,0.16,0.16,0.33,0.18,-0.09,0.0,0.0
deltaX,deltaY,0.2668,0.9129,NAN,0.98,0.98,0.96,0.99,0.92,0.95,0.95
MINUTE,SECOND,0.1405,0.9508,NAN,0.77,0.77,0.85,0.93,0.9,0.99,0.99
onDragStart,onDragEnd,0.1168,0.9825,NAN,0.95,0.95,0.93,0.9,0.77,0.96,0.96
body,agg,0.0938,0.1174,NAN,0.17,0.17,0.55,0.18,0.0,0.36,0.36
rows,pages,0.1833,0.5991,NAN,0.41,0.41,0.62,0.47,0.44,0.81,0.81
store,storage,0.8333,0.9302,0.7382,0.72,0.72,0.71,0.7,0.51,0.77,0.77
angle,theta,0.625,0.7571,0.9186,0.52,0.52,0.74,0.83,0.54,0.85,0.85
foo,bar,0.5178,0.6077,0.8168,0.71,0.71,0.83,0.85,0.57,0.8,0.8
DATE,MONTH,0.2308,0.9799,0.5943,0.65,0.65,0.75,0.8,0.56,0.89,0.89
components,requests,0.0715,0.3277,NAN,0.34,0.34,0.44,0.29,0.16,0.77,0.77
modal,calendar,0.1095,0.1663,NAN,0.27,0.27,0.44,0.31,0.26,0.6,0.6
ids,tasks,0.3333,0.4595,NAN,0.38,0.38,0.58,0.34,0.28,0.8,0.8
toolbar,preview,0.0333,0.0934,NAN,0.35,0.35,0.58,0.73,0.42,0.78,0.78
$behaviour,foldingRules,0.1972,0.2568,0.0831,0.51,0.51,0.64,0.86,0.73,0.0,0.0
a01,b01,0.4062,0.6893,NAN,0.85,0.85,0.94,0.88,0.67,0.94,0.94
material,light,0.0657,0.2843,NAN,0.51,0.51,0.65,0.65,0.42,0.71,0.71
camera,texture,0.0832,0.2735,NAN,0.23,0.23,0.56,0.52,0.23,0.62,0.62
user,person,0.8947,0.8624,0.8462,0.55,0.55,0.73,0.73,0.43,0.81,0.81
selected,active,0.7763,0.8486,0.892,0.37,0.37,0.54,0.52,0.49,0.77,0.77
rows,columns,0.0832,0.8839,0.2155,0.72,0.72,0.78,0.82,0.67,0.86,0.86
files,problems,0.0555,0.0557,NAN,0.29,0.29,0.56,0.47,0.36,0.78,0.78
frames,markers,0.25,0.5497,NAN,0.11,0.11,0.35,0.13,0.19,0.69,0.69
objects,shortcuts,0.111,0.1428,NAN,0.2,0.2,0.38,0.31,0.18,0.69,0.69
cx,sx,0.3678,0.3847,NAN,0.45,0.45,0.77,0.54,0.29,0.68,0.68
tr,td,0.1,0.7385,NAN,0.81,0.81,0.82,0.79,0.68,0.77,0.77
foo,trow,0.2678,0.1221,0.7743,0.22,0.22,0.62,0.18,-0.1,0.35,0.35
bindBuffer,ELEMENT_ARRAY_BUFFER,0.2648,0.5078,0.276,0.49,0.49,0.79,0.87,0.42,0.63,0.63
navy,purple,0.2333,0.7037,0.5563,0.37,0.37,0.84,0.9,0.67,0.95,0.95
host,author,0.5683,0.5722,NAN,0.38,0.38,0.54,0.21,0.06,0.57,0.57
li,span,0.159,0.2869,NAN,0.53,0.53,0.73,0.71,0.51,0.82,0.82
orange,pink,0.1345,0.9195,NAN,0.21,0.21,0.73,0.78,0.51,0.88,0.88
CallExpression,BlockStatement,0.2142,0.4022,0.242,0.62,0.62,0.67,0.77,0.46,0.65,0.65
g,r,0.423,0.3363,0.8674,0.53,0.53,0.84,0.77,0.69,0.71,0.71
data,azimuthal,0.206,0.154,0.401,0.28,0.28,0.45,0.15,-0.01,0.44,0.44
raw,movie,0.1527,0.3316,0.276,0.05,0.05,0.39,0.23,-0.02,0.31,0.31
me,br,0.1322,0.1232,NAN,0.06,0.06,0.62,0.21,0.07,0.46,0.46
err,er,0.7115,0.7586,0.8889,0.74,0.74,0.8,0.72,0.6,0.9,0.9
res,resp,0.6042,0.6077,0.9224,0.68,0.68,0.81,0.68,0.51,0.9,0.9
content,newtext,0.3393,0.477,0.9284,0.35,0.35,0.57,0.37,0.06,0.51,0.51
utils,util,0.8088,0.9846,0.9526,0.71,0.71,0.73,0.67,0.56,0.9,0.9
renderer,screen,0.423,0.6177,0.8453,0.28,0.28,0.46,0.44,0.31,0.64,0.64
maroon,olive,0.0535,0.5703,NAN,0.31,0.31,0.82,0.91,0.78,0.9,0.9
olive,pink,0.044,0.5693,NAN,0.31,0.31,0.78,0.85,0.72,0.88,0.88
λ0,λ1,0.2668,0.7385,0.1838,0.92,0.92,0.95,0.95,0.71,0.0,0.0
arrayClass,boolClass,0.2353,0.677,NAN,0.65,0.65,0.76,0.81,0.47,0.97,0.97
paddingRight,paddingTop,0.0455,1.0,NAN,0.89,0.89,0.88,0.85,0.6,0.94,0.94
expect,bp,0.05,0.0238,0.1062,0.05,0.05,0.48,0.19,-0.15,0.07,0.07
items,files,0.625,0.5892,0.7505,0.3,0.3,0.59,0.51,0.41,0.77,0.77
disabled,visible,0.103,0.5384,NAN,0.36,0.36,0.51,0.53,0.49,0.74,0.74
round,sqrt,0.0578,0.5173,NAN,0.6,0.6,0.78,0.67,0.61,0.76,0.76
teal,lightgrey,0.25,0.7845,NAN,0.25,0.25,0.7,0.65,0.7,0.0,0.0
navy,lightblue,0.4117,0.8923,0.231,0.38,0.38,0.76,0.78,0.78,0.9,0.9
navy,lightgreen,0.125,0.6514,NAN,0.31,0.31,0.75,0.74,0.75,0.94,0.94
navy,magenta,0.1765,0.8617,NAN,0.38,0.38,0.74,0.67,0.36,0.87,0.87
items,records,0.7345,0.8039,0.7983,0.47,0.47,0.58,0.61,0.51,0.85,0.85
hide,blur,0.2708,0.5424,NAN,0.5,0.5,0.71,0.63,0.56,0.69,0.69
VERSION,geoJson,0.0795,0.1085,0.1606,0.16,0.16,0.32,0.08,-0.02,0.48,0.48
Util,isParam,0.1,0.2155,NAN,0.27,0.27,0.52,0.38,0.05,0.4,0.4
found,rawFunc,0.05,0.0934,NAN,0.06,0.06,0.42,0.41,0.08,0.0,0.0
a01,b11,0.175,0.4247,NAN,0.8,0.8,0.9,0.83,0.59,0.94,0.94
gray,silver,0.4667,0.9129,0.1147,0.4,0.4,0.77,0.85,0.44,0.82,0.82
topLevelTarget,topLevelTargetID,0.6538,0.8392,0.7658,0.91,0.91,0.94,0.87,0.58,0.63,0.63
defHeaders,defHeaderName,0.5312,0.9184,0.8124,0.82,0.82,0.9,0.92,0.77,0.5,0.5
get,facets,0.1875,0.2155,0.208,0.09,0.09,0.48,0.25,0.02,0.3,0.3
equal,cut,0.0385,0.0947,0.2049,0.09,0.09,0.51,0.31,0.01,0.34,0.34
start,begin,0.9423,0.9799,NAN,0.58,0.58,0.67,0.57,0.55,0.85,0.85
visible,showing,0.829,0.9038,NAN,0.55,0.55,0.7,0.51,0.46,0.66,0.66
dataMax,dataMin,0.125,0.9738,NAN,0.94,0.94,0.96,0.98,0.89,0.97,0.97
len,ls,0.1965,0.3088,NAN,0.49,0.49,0.71,0.49,0.33,0.46,0.46
items,ranges,0.25,0.3562,0.7983,0.24,0.24,0.55,0.47,0.32,0.78,0.78
dispatchIDs,_dispatchIDs,0.828,0.9184,NAN,0.78,0.78,0.88,0.88,0.69,0.43,0.43
maroon,lightblue,0.0155,0.6731,0.1838,0.45,0.45,0.77,0.74,0.54,0.88,0.88
remove,focus,0.0395,0.0502,0.1062,0.27,0.27,0.6,0.59,0.54,0.75,0.75
b01,a03,0.1537,0.4569,0.0824,0.82,0.82,0.92,0.92,0.75,0.96,0.96
getAnimation,depot,0.0735,0.0309,NAN,0.19,0.19,0.57,0.81,0.65,0.59,0.59
translateX,translateY,0.2293,0.9563,NAN,0.98,0.98,0.97,0.97,0.76,0.94,0.94
mountDepth,updateComponent,0.0625,0.063,0.2915,0.38,0.38,0.5,0.83,0.81,0.48,0.48
left,bottom,0.125,0.6862,NAN,0.63,0.63,0.82,0.79,0.68,0.91,0.91
nodes,filenames,0.2223,0.448,NAN,0.39,0.39,0.46,0.31,0.16,0.63,0.63
records,entries,0.8685,0.8624,1.0,0.41,0.41,0.53,0.43,0.42,0.76,0.76
adjusted_scale,rangy,0.3077,0.4367,0.242,0.27,0.27,0.39,0.22,-0.04,0.0,0.0
PLACEHOLDER,vertexFormat,0.1168,0.1807,0.299,0.23,0.23,0.27,0.04,0.0,0.44,0.44
vSpace,advisoryTitleInputLabel,0.0695,0.0557,0.0478,0.38,0.38,0.47,0.51,0.37,0.0,0.0
styleSelectLabel,tag_h4,0.2812,0.4116,0.1377,0.15,0.15,0.38,0.65,0.4,0.0,0.0
body,currants,0.1155,0.1953,0.276,0.26,0.26,0.47,0.15,-0.06,0.5,0.5
alpha,rate,0.1138,0.1917,NAN,0.37,0.37,0.59,0.57,0.41,0.71,0.71
indices,positions,0.6965,0.8133,0.983,0.29,0.29,0.59,0.49,0.5,0.71,0.71
keyup,deferId,0.1168,0.1109,NAN,0.19,0.19,0.46,0.31,0.08,0.43,0.43
getBorderWidth,getPadding,0.5295,0.8462,0.5999,0.79,0.79,0.76,0.89,0.69,0.97,0.97
foo,abc,0.5833,0.2155,0.8196,0.44,0.44,0.78,0.64,0.45,0.76,0.76
files,images,0.5,0.7385,0.807,0.47,0.47,0.6,0.5,0.38,0.78,0.78
layers,entries,0.2668,0.3724,0.7488,0.38,0.38,0.5,0.51,0.33,0.67,0.67
generalTab,advancedTab,0.389,0.8839,0.0,0.63,0.63,0.76,0.96,0.9,0.98,0.98
targetPopup,popupResizable,0.328,0.6569,0.6966,0.51,0.51,0.63,0.87,0.75,0.0,0.0
start,searches,0.1168,0.1284,NAN,0.21,0.21,0.47,0.39,0.15,0.45,0.45
a24,a30,0.3462,0.7385,0.734,0.87,0.87,0.95,0.79,0.73,0.97,0.97
push,configure,0.047,0.1501,NAN,0.06,0.06,0.49,0.32,-0.05,0.55,0.55
len,ln,0.794,0.8462,0.8428,0.66,0.66,0.75,0.75,0.69,0.85,0.85
left,top,0.05,0.7646,NAN,0.8,0.8,0.88,0.89,0.84,0.98,0.98
lightgreen,lightgrey,0.1138,0.6433,0.2172,0.94,0.94,0.97,0.95,0.97,0.0,0.0
self,that,0.297,0.4932,0.4594,0.28,0.28,0.7,0.65,0.64,0.88,0.88
y,z,0.4265,0.477,NAN,0.58,0.58,0.86,0.73,0.68,0.84,0.84
push,ts,0.111,0.1138,NAN,0.12,0.12,0.56,0.45,0.26,0.24,0.24
element,elm,0.8678,0.9231,NAN,0.58,0.58,0.73,0.69,0.68,0.84,0.84
id,userid,0.7648,0.8308,0.8708,0.56,0.56,0.67,0.46,0.23,0.77,0.77
id,sessionid,0.7205,0.8462,0.9169,0.41,0.41,0.55,0.41,0.2,0.71,0.71
expect,assume,0.6765,0.7539,0.7983,0.46,0.46,0.65,0.59,0.26,0.58,0.58
callback,cb,0.8595,0.8692,NAN,0.65,0.65,0.7,0.8,0.71,0.83,0.83
container,video,0.2082,0.3172,NAN,0.29,0.29,0.5,0.36,0.42,0.7,0.7
container,submenu,0.3595,0.4278,0.242,0.28,0.28,0.49,0.27,0.21,0.78,0.78
children,columns,0.2833,0.3201,0.7983,0.42,0.42,0.54,0.45,0.53,0.73,0.73
items,tiles,0.3125,0.4116,NAN,0.28,0.28,0.55,0.42,0.25,0.79,0.79
equal,ok,0.3195,0.3753,0.9052,0.7,0.7,0.8,0.67,0.63,0.76,0.76
miny,ypos,0.375,0.6825,0.0247,0.27,0.27,0.7,0.54,0.24,0.75,0.75
newLength,Group,0.0418,0.0267,0.1606,0.15,0.15,0.41,0.26,0.04,0.32,0.32
colspan,assignTo,0.0625,0.0847,0.29,0.1,0.1,0.39,0.18,0.04,0.08,0.08
setScrollTop,prefixWith,0.0795,0.1323,NAN,-0.15,-0.15,0.22,0.03,-0.13,0.84,0.84
getMinutes,getUTCMinutes,0.725,0.9085,0.9794,0.93,0.93,0.87,0.83,0.67,0.95,0.95
FONTDATA,FONTS,0.578,0.853,0.8931,0.92,0.92,0.92,0.98,0.95,0.75,0.75
ReactEmptyComponent,renderToStaticMarkup,0.1073,0.091,0.3695,0.6,0.6,0.65,0.61,0.46,0.55,0.55
images,streams,0.25,0.586,0.0404,0.27,0.27,0.46,0.28,0.24,0.67,0.67
s1,s2,0.3552,0.7246,0.7833,0.97,0.97,0.96,0.98,0.89,0.89,0.89
precondition,prereq,0.8125,0.8692,0.8173,0.57,0.57,0.75,0.93,0.72,0.86,0.86
setAttributeNode,createAttribute,0.3678,0.7076,NAN,0.69,0.69,0.74,0.95,0.77,0.75,0.75
Connection,Client,0.2812,0.4608,NAN,0.74,0.74,0.74,0.88,0.74,0.81,0.81
dom__FixedSizeListIterator,_dom_pos,0.2655,0.5586,NAN,0.46,0.46,0.64,0.94,0.9,0.0,0.0
v2,v3,0.297,0.8039,NAN,0.85,0.85,0.9,0.9,0.5,0.91,0.91
trim,separatedList,0.163,0.2837,NAN,0.3,0.3,0.36,0.32,0.13,0.0,0.0
minVal,minValue,0.908,0.9587,0.6913,0.84,0.84,0.89,0.6,0.4,0.77,0.77
btnModify,btnSetValue,0.6072,0.7385,0.8292,0.6,0.6,0.75,0.9,0.79,0.0,0.0
nodeLinkFn,childLinkFn,0.75,0.8593,0.8763,0.84,0.84,0.89,0.95,0.71,0.75,0.75
setMinutes,setSeconds,0.2205,0.9077,0.0593,0.77,0.77,0.86,0.95,0.81,0.99,0.99
obj1,obj2,0.6095,0.8039,0.5967,0.97,0.97,0.96,0.97,0.84,0.85,0.85
destroy,clear,0.6,0.8083,0.8296,0.55,0.55,0.69,0.73,0.65,0.93,0.93
panelTitle,panelTitle1,0.8815,0.9587,0.625,0.92,0.92,0.96,0.92,0.83,0.0,0.0
__dependency1__,__dependency2__,0.4643,0.9378,NAN,1.0,1.0,0.98,0.94,0.83,0.82,0.82
ace,__ace_shadowed__,0.5,0.7945,0.3489,0.44,0.44,0.66,0.86,0.61,0.0,0.0
m1,m2,0.5417,0.8112,NAN,0.94,0.94,0.93,0.93,0.76,0.84,0.84
latitude,longitude,0.0147,0.9385,NAN,0.91,0.91,0.94,0.99,0.84,0.96,0.96
item,record,0.6765,0.7694,0.9662,0.29,0.29,0.57,0.54,0.41,0.77,0.77
cols,rects,0.173,0.4166,NAN,0.41,0.41,0.66,0.37,0.28,0.76,0.76
resetSize,popupFeatures,0.0418,0.1428,0.231,0.13,0.13,0.49,0.53,0.34,0.75,0.75
parentWindow,scanner,0.0735,0.0463,NAN,0.14,0.14,0.34,-0.16,-0.08,0.26,0.26
popupToolbar,popupDependent,0.25,0.6077,0.3865,0.63,0.63,0.75,0.84,0.74,0.0,0.0
cursor,intercept,0.15,0.2503,NAN,0.2,0.2,0.35,0.25,-0.04,0.33,0.33
split,shim,0.264,0.3316,0.242,0.21,0.21,0.45,0.26,0.11,0.35,0.35
ranges,codes,0.1818,0.3818,0.0404,0.49,0.49,0.55,0.39,0.3,0.67,0.67
prereq,fnExists,0.1668,0.1109,NAN,0.34,0.34,0.76,0.94,0.71,0.01,0.01
styleSelectLabel,cssClassInputLabel,0.5625,0.6077,0.8547,0.64,0.64,0.74,0.94,0.9,0.0,0.0
ELEMENT_NODE,TEXT_NODE,0.5148,0.7999,0.8147,0.82,0.82,0.79,0.88,0.82,0.94,0.94
rlocalProtocol,rprotocol,0.7083,0.8839,0.9428,0.92,0.92,0.78,0.71,0.27,0.81,0.81
listeners,cbs,0.1922,0.0947,0.143,0.55,0.55,0.62,0.6,0.45,0.76,0.76
ranges,expressions,0.175,0.3724,NAN,0.38,0.38,0.46,0.44,0.37,0.78,0.78
segments,annotations,0.2655,0.3135,NAN,0.27,0.27,0.39,0.33,0.19,0.74,0.74
onPlay,onPause,0.1618,0.8768,NAN,0.83,0.83,0.83,0.79,0.54,0.94,0.94
clientY,_keyStr,0.1168,0.1109,NAN,0.2,0.2,0.41,0.25,-0.0,0.4,0.4
oMatchesSelector,msMatchesSelector,0.6562,0.8692,0.4824,0.92,0.92,0.96,0.95,0.79,1.0,1.0
re,destruct,0.0207,0.063,0.0247,0.12,0.12,0.45,0.06,0.03,0.46,0.46
click,dblclick,0.206,0.9691,NAN,0.75,0.75,0.75,0.66,0.51,0.82,0.82
columns,requests,0.125,0.1663,0.5999,0.24,0.24,0.49,0.31,0.12,0.75,0.75
a11,b12,0.1945,0.6804,0.1062,0.76,0.76,0.87,0.85,0.66,0.93,0.93
pink,brown,0.0938,0.6893,0.2204,0.38,0.38,0.74,0.8,0.68,0.91,0.91
floor,abs,0.1427,0.3462,NAN,0.65,0.65,0.82,0.78,0.73,0.9,0.9
math,miny,0.0177,0.3836,0.1581,0.47,0.47,0.63,0.35,0.13,0.35,0.35
alignTop,popupToolbar,0.147,0.2001,NAN,0.39,0.39,0.47,0.56,0.4,0.0,0.0
oDomRef,structuralType,0.0938,0.0194,NAN,0.14,0.14,0.34,0.3,0.03,0.59,0.59
dataAndEvents,deepDataAndEvents,0.7368,0.8624,0.8374,0.91,0.91,0.97,0.99,0.62,0.7,0.7
toggle,isLength,0.0147,0.0,0.1147,0.19,0.19,0.42,0.18,-0.1,0.32,0.32
defaults,DomRange,0.1332,0.2155,NAN,0.11,0.11,0.34,0.18,-0.06,0.44,0.44
advice,alternative,0.0695,0.1284,NAN,0.26,0.26,0.35,0.28,0.1,0.71,0.71
controller,mutator,0.3125,0.3789,0.242,0.23,0.23,0.31,0.2,-0.01,0.55,0.55
files,locations,0.4465,0.4396,0.8585,0.25,0.25,0.46,0.23,0.27,0.82,0.82
click,mouseup,0.4305,0.8692,0.143,0.51,0.51,0.67,0.74,0.55,0.9,0.9
inputs,resources,0.4167,0.6339,0.7932,0.29,0.29,0.45,0.37,0.37,0.78,0.78
styleSelectLabel,inlineStyleInputLabel,0.5625,0.6569,NAN,0.72,0.72,0.74,0.9,0.74,0.0,0.0
a12,a13,0.5,0.8133,NAN,0.96,0.96,0.97,0.96,0.79,0.98,0.98
abs,sqrt,0.0177,0.6825,NAN,0.61,0.61,0.81,0.78,0.62,0.89,0.89
cells,segments,0.5938,0.6893,NAN,0.3,0.3,0.5,0.35,0.25,0.72,0.72
place,written,0.047,0.1009,0.3411,0.15,0.15,0.41,0.1,-0.1,0.42,0.42
on,immediate,0.175,0.1893,0.208,0.1,0.1,0.51,0.31,0.13,0.42,0.42
links,associations,0.6667,0.8039,NAN,0.33,0.33,0.42,0.35,0.24,0.72,0.72
