id1,id2,contextual_similarity,similarity,relatedness,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
id,userid,0.8708,0.7648,0.8308,0.56,0.67,0.46,0.23,0.77,0.6364,0.6364
username,userid,0.8685,0.603,0.954,0.72,0.79,0.64,0.43,0.65,0.6923,0.7692
g,r,0.8674,0.423,0.3363,0.53,0.84,0.77,0.69,0.71,0.8333,0.9167
ln,ilen,0.8591,0.6965,0.7571,0.44,0.64,0.5,0.34,0.89,0.7778,0.7778
files,locations,0.8585,0.4465,0.4396,0.25,0.46,0.23,0.27,0.82,0.5,0.6071
styleSelectLabel,cssClassInputLabel,0.8547,0.5625,0.6077,0.64,0.74,0.94,0.9,0.0,0.5652,0.7391
pseudoElements,pseudoClasses,0.851,0.421,0.7246,0.71,0.75,0.77,0.54,0.99,0.6842,0.8158
user,person,0.8462,0.8947,0.8624,0.55,0.73,0.73,0.43,0.81,0.5455,0.6818
renderer,screen,0.8453,0.423,0.6177,0.28,0.46,0.44,0.31,0.64,0.5385,0.6923
len,ln,0.8428,0.794,0.8462,0.66,0.75,0.75,0.69,0.85,0.875,0.875
sources,adapters,0.841,0.375,0.5703,0.34,0.46,0.37,0.25,0.69,0.5385,0.7308
dataAndEvents,deepDataAndEvents,0.8374,0.7368,0.8624,0.91,0.97,0.99,0.62,0.7,0.8182,0.8182
destroy,clear,0.8296,0.6,0.8083,0.55,0.69,0.73,0.65,0.93,0.5,0.6667
btnModify,btnSetValue,0.8292,0.6072,0.7385,0.6,0.75,0.9,0.79,0.0,0.5,0.6875
rlocalProtocol,rurl,0.8272,0.2738,0.5392,0.66,0.6,0.65,0.22,0.91,0.4211,0.4474
foo,abc,0.8196,0.5833,0.2155,0.44,0.78,0.64,0.45,0.76,0.625,0.8125
precondition,prereq,0.8173,0.8125,0.8692,0.57,0.75,0.93,0.72,0.86,0.4706,0.5588
decrypt,ciphertext,0.8173,0.3625,0.8039,0.63,0.77,0.83,0.63,0.58,0.4667,0.6333
canvas,video,0.8173,0.4167,0.7168,0.48,0.57,0.5,0.42,0.78,0.4545,0.6818
foo,bar,0.8168,0.5178,0.6077,0.71,0.83,0.85,0.57,0.8,0.625,0.8125
ELEMENT_NODE,TEXT_NODE,0.8147,0.5148,0.7999,0.82,0.79,0.88,0.82,0.94,0.7059,0.7647
ReactDOMComponent,ReactTextComponent,0.8138,0.544,0.7231,0.94,0.86,0.68,0.43,0.82,0.8261,0.8913
defHeaders,defHeaderName,0.8124,0.5312,0.9184,0.82,0.9,0.92,0.77,0.5,0.7778,0.8056
files,images,0.807,0.5,0.7385,0.47,0.6,0.5,0.38,0.78,0.6364,0.7727
names,filenames,0.7983,0.6562,0.8039,0.62,0.64,0.44,0.12,0.78,0.7143,0.7143
items,records,0.7983,0.7345,0.8039,0.47,0.58,0.61,0.51,0.85,0.5,0.6667
items,ranges,0.7983,0.25,0.3562,0.24,0.55,0.47,0.32,0.78,0.5455,0.7273
expect,assume,0.7983,0.6765,0.7539,0.46,0.65,0.59,0.26,0.58,0.4545,0.7273
children,columns,0.7983,0.2833,0.3201,0.42,0.54,0.45,0.53,0.73,0.5385,0.7308
userA,userB,0.7958,0.4605,0.9174,0.95,0.94,0.98,0.93,0.97,0.9,0.95
inputs,resources,0.7932,0.4167,0.6339,0.29,0.45,0.37,0.37,0.78,0.5,0.6429
count,total,0.7913,0.8088,0.8308,0.57,0.69,0.52,0.54,0.83,0.6,0.8
s1,s2,0.7833,0.3552,0.7246,0.97,0.96,0.98,0.89,0.89,0.8571,0.9286
foo,trow,0.7743,0.2678,0.1221,0.22,0.62,0.18,-0.1,0.35,0.6667,0.7778
topLevelTarget,topLevelTargetID,0.7658,0.6538,0.8392,0.91,0.94,0.87,0.58,0.63,0.9048,0.9048
img,thumb,0.7658,0.6528,0.7531,0.45,0.6,0.43,0.36,0.7,0.6,0.7
cosφ0,cosφ,0.7597,0.625,0.891,0.94,0.97,0.85,0.6,0.0,0.9,0.9
element,dropdown,0.7578,0.2917,0.477,0.41,0.56,0.52,0.46,0.7,0.3846,0.6538
items,files,0.7505,0.625,0.5892,0.3,0.59,0.51,0.41,0.77,0.7,0.8
layers,entries,0.7488,0.2668,0.3724,0.38,0.5,0.51,0.33,0.67,0.5,0.7083
store,storage,0.7382,0.8333,0.9302,0.72,0.71,0.7,0.51,0.77,0.8333,0.8333
Lines,CurRange,0.7382,0.3077,0.3763,0.58,0.68,0.87,0.71,0.39,0.4615,0.6154
a24,a30,0.734,0.3462,0.7385,0.87,0.95,0.79,0.73,0.97,0.75,0.875
maxLine,maxLineLength,0.7225,0.5833,0.8039,0.82,0.88,0.9,0.75,0.83,0.6667,0.6667
equals,same,0.7225,0.8333,0.9346,0.58,0.68,0.62,0.67,0.65,0.5455,0.6818
targetPopup,popupResizable,0.6966,0.328,0.6569,0.51,0.63,0.87,0.75,0.0,0.3158,0.5789
minVal,minValue,0.6913,0.908,0.9587,0.84,0.89,0.6,0.4,0.77,0.8462,0.8462
disabledDaysText,disabledDatesText,0.6876,0.3905,0.8692,0.96,0.96,0.97,0.95,0.99,0.9091,0.9318
panelTitle,panelTitle1,0.625,0.8815,0.9587,0.92,0.96,0.92,0.83,0.0,0.9375,0.9375
bindBuffer,ARRAY_BUFFER,0.625,0.3472,0.6658,0.51,0.81,0.96,0.58,0.65,0.3529,0.6176
touchmove,touchend,0.6156,0.2778,0.8256,0.91,0.94,0.96,0.87,0.97,0.7143,0.8214
response,alert,0.5999,0.3087,0.6002,0.33,0.53,0.53,0.33,0.31,0.3846,0.5769
getBorderWidth,getPadding,0.5999,0.5295,0.8462,0.79,0.76,0.89,0.69,0.97,0.5263,0.6579
columns,requests,0.5999,0.125,0.1663,0.24,0.49,0.31,0.12,0.75,0.5385,0.7308
obj1,obj2,0.5967,0.6095,0.8039,0.97,0.96,0.97,0.84,0.85,0.8889,0.9444
DATE,MONTH,0.5943,0.2308,0.9799,0.65,0.75,0.8,0.56,0.89,0.6,0.75
files,profiles,0.5678,0.2668,0.3549,0.58,0.6,0.41,0.24,0.77,0.7692,0.7692
navy,purple,0.5563,0.2333,0.7037,0.37,0.84,0.9,0.67,0.95,0.4545,0.6364
alignCenter,alignMiddle,0.5563,0.625,0.8692,0.87,0.9,0.89,0.81,0.94,0.625,0.8125
oMatchesSelector,msMatchesSelector,0.4824,0.6562,0.8692,0.92,0.96,0.95,0.79,1.0,0.9091,0.9318
self,that,0.4594,0.297,0.4932,0.28,0.7,0.65,0.64,0.88,0.5556,0.7778
data,azimuthal,0.401,0.206,0.154,0.28,0.45,0.15,-0.01,0.44,0.5,0.5714
popupToolbar,popupDependent,0.3865,0.25,0.6077,0.63,0.75,0.84,0.74,0.0,0.5263,0.7105
xMin,xMax,0.3719,0.0207,0.9783,0.9,0.95,0.98,0.86,0.9,0.7778,0.8889
ReactEmptyComponent,renderToStaticMarkup,0.3695,0.1073,0.091,0.6,0.65,0.61,0.46,0.55,0.28,0.62
ui,secret,0.3489,0.0735,0.0463,0.05,0.5,0.22,-0.0,0.54,0.4545,0.5455
names,sources,0.3489,0.578,0.6077,0.37,0.54,0.48,0.36,0.81,0.5833,0.7083
ace,__ace_shadowed__,0.3489,0.5,0.7945,0.44,0.66,0.86,0.61,0.0,0.381,0.381
lastName,firstName,0.3464,0.075,0.8954,0.9,0.94,0.98,0.89,0.9,0.7857,0.8571
setInterval,clearInterval,0.3411,0.092,0.8624,0.89,0.9,0.96,0.85,0.9,0.7778,0.8333
place,written,0.3411,0.047,0.1009,0.15,0.41,0.1,-0.1,0.42,0.5,0.6667
idx,ridx,0.3234,0.4167,0.6948,0.55,0.77,0.51,0.43,0.74,0.8889,0.8889
click,mousedown,0.3079,0.7368,0.9448,0.57,0.69,0.8,0.61,0.91,0.3571,0.5357
PLACEHOLDER,vertexFormat,0.299,0.1168,0.1807,0.23,0.27,0.04,0.0,0.44,0.2941,0.6176
mountDepth,updateComponent,0.2915,0.0625,0.063,0.38,0.5,0.83,0.81,0.48,0.35,0.55
colspan,assignTo,0.29,0.0625,0.0847,0.1,0.39,0.18,0.04,0.08,0.4615,0.6538
raw,movie,0.276,0.1527,0.3316,0.05,0.39,0.23,-0.02,0.31,0.5,0.65
body,currants,0.276,0.1155,0.1953,0.26,0.47,0.15,-0.06,0.5,0.3846,0.5385
bindBuffer,ELEMENT_ARRAY_BUFFER,0.276,0.2648,0.5078,0.49,0.79,0.87,0.42,0.63,0.24,0.42
self_msgs,they_effects,0.2684,0.0578,0.0748,0.5,0.83,0.96,0.79,0.89,0.4706,0.6471
λ0,φ0,0.242,0.2668,0.6339,0.92,0.91,0.87,0.61,0.0,0.8571,0.9286
split,shim,0.242,0.264,0.3316,0.21,0.45,0.26,0.11,0.35,0.7,0.8
controller,mutator,0.242,0.3125,0.3789,0.23,0.31,0.2,-0.01,0.55,0.4667,0.6333
container,submenu,0.242,0.3595,0.4278,0.28,0.49,0.27,0.21,0.78,0.4286,0.6429
black,colours,0.242,0.077,0.8593,0.42,0.74,0.75,0.6,0.53,0.5,0.6667
adjusted_scale,rangy,0.242,0.3077,0.4367,0.27,0.39,0.22,-0.04,0.0,0.2632,0.3947
CallExpression,BlockStatement,0.242,0.2142,0.4022,0.62,0.67,0.77,0.46,0.65,0.3158,0.6316
resetSize,popupFeatures,0.231,0.0418,0.1428,0.13,0.49,0.53,0.34,0.75,0.3889,0.5833
pushStackLiteral,oldSelection,0.231,0.05,0.1807,0.13,0.27,0.25,0.07,0.55,0.3333,0.5714
navy,lightblue,0.231,0.4117,0.8923,0.38,0.76,0.78,0.78,0.9,0.3571,0.5
lockRatio,alignRight,0.231,0.0528,0.1467,0.47,0.45,0.58,0.34,0.74,0.4667,0.7
pink,brown,0.2204,0.0938,0.6893,0.38,0.74,0.8,0.68,0.91,0.5,0.7
lightgreen,lightgrey,0.2172,0.1138,0.6433,0.94,0.97,0.95,0.97,0.0,0.8667,0.9
rows,columns,0.2155,0.0832,0.8839,0.72,0.78,0.82,0.67,0.86,0.5833,0.6667
on,immediate,0.208,0.175,0.1893,0.1,0.51,0.31,0.13,0.42,0.3571,0.4286
get,facets,0.208,0.1875,0.2155,0.09,0.48,0.25,0.02,0.3,0.6364,0.6818
equal,cut,0.2049,0.0385,0.0947,0.09,0.51,0.31,0.01,0.34,0.6,0.7
λ0,λ1,0.1838,0.2668,0.7385,0.92,0.95,0.95,0.71,0.0,0.8571,0.9286
maroon,lightblue,0.1838,0.0155,0.6731,0.45,0.77,0.74,0.54,0.88,0.3571,0.5714
_owner,nextElement,0.1838,0.0358,0.1595,0.28,0.59,0.79,0.39,0.36,0.375,0.5312
events,rchecked,0.1819,0.1427,0.1595,0.19,0.31,0.22,-0.0,0.26,0.4615,0.6538
cols,domains,0.1819,0.25,0.4294,0.19,0.47,0.25,0.14,0.72,0.5833,0.6667
newLength,Group,0.1606,0.0418,0.0267,0.15,0.41,0.26,0.04,0.32,0.3571,0.5357
VERSION,geoJson,0.1606,0.0795,0.1085,0.16,0.32,0.08,-0.02,0.48,0.4167,0.7083
math,miny,0.1581,0.0177,0.3836,0.47,0.63,0.35,0.13,0.35,0.6667,0.8333
listeners,cbs,0.143,0.1922,0.0947,0.55,0.62,0.6,0.45,0.76,0.4286,0.5
click,mouseup,0.143,0.4305,0.8692,0.51,0.67,0.74,0.55,0.9,0.4167,0.625
styleSelectLabel,tag_h4,0.1377,0.2812,0.4116,0.15,0.38,0.65,0.4,0.0,0.2857,0.4048
minText,maxText,0.1279,0.0735,0.9077,0.95,0.9,0.94,0.76,0.99,0.8333,0.9167
toggle,isLength,0.1147,0.0147,0.0,0.19,0.42,0.18,-0.1,0.32,0.4615,0.6538
gray,silver,0.1147,0.4667,0.9129,0.4,0.77,0.85,0.44,0.82,0.4545,0.6364
remove,focus,0.1062,0.0395,0.0502,0.27,0.6,0.59,0.54,0.75,0.4545,0.6818
expect,bp,0.1062,0.05,0.0238,0.05,0.48,0.19,-0.15,0.07,0.5455,0.5909
a11,b12,0.1062,0.1945,0.6804,0.76,0.87,0.85,0.66,0.93,0.75,0.875
getInstanceProp,setInstanceProp,0.0975,0.0,0.8954,0.94,0.96,0.81,0.71,0.72,0.95,0.975
getRules,foldingRules,0.0831,0.375,0.6224,0.7,0.76,0.65,0.39,0.66,0.5882,0.6765
allocate,contextmenu,0.0831,0.1138,0.1441,0.02,0.27,0.18,0.06,0.47,0.4375,0.625
$behaviour,foldingRules,0.0831,0.1972,0.2568,0.51,0.64,0.86,0.73,0.0,0.3529,0.6176
b01,a03,0.0824,0.1537,0.4569,0.82,0.92,0.92,0.75,0.96,0.75,0.875
setMinutes,setSeconds,0.0593,0.2205,0.9077,0.77,0.86,0.95,0.81,0.99,0.6,0.8
vSpace,advisoryTitleInputLabel,0.0478,0.0695,0.0557,0.38,0.47,0.51,0.37,0.0,0.3214,0.3571
wrapper,scroller,0.0404,0.3845,0.477,0.39,0.52,0.58,0.51,0.69,0.6154,0.7692
ranges,codes,0.0404,0.1818,0.3818,0.49,0.55,0.39,0.3,0.67,0.6364,0.7727
minx,ymax,0.0404,0.1168,0.6862,0.58,0.79,0.66,0.31,0.83,0.6667,0.8333
images,streams,0.0404,0.25,0.586,0.27,0.46,0.28,0.24,0.67,0.5,0.7083
columns,menus,0.0404,0.327,0.5173,0.35,0.5,0.44,0.13,0.52,0.5833,0.7083
i,targ,0.0346,0.3125,0.1718,0.22,0.68,0.27,0.17,0.45,0.5556,0.6111
re,destruct,0.0247,0.0207,0.063,0.12,0.45,0.06,0.03,0.46,0.4615,0.5
miny,ypos,0.0247,0.375,0.6825,0.27,0.7,0.54,0.24,0.75,0.5556,0.7778
image,polyline,0.0247,0.2223,0.3609,0.2,0.44,0.37,0.15,0.75,0.4615,0.6154
hSpace,popupFeatures,0.0,0.0375,0.1501,0.25,0.48,0.58,0.42,0.86,0.4444,0.5278
generalTab,advancedTab,0.0,0.389,0.8839,0.63,0.76,0.96,0.9,0.98,0.5,0.7188
