id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
getRules,foldingRules,0.35,0.6608,0.0831,0.7,0.7,0.76,0.65,0.39,0.66,0.66
self_msgs,they_effects,0.05,0.0347,NAN,0.5,0.5,0.83,0.96,0.79,0.89,0.89
getInstanceProp,setInstanceProp,0,0.9478,0.0975,0.94,0.94,0.96,0.81,0.71,0.72,0.72
emptyText,blankText,0.8958,0.9564,0.966,0.67,0.67,0.73,0.7,0.59,0.92,0.92
minText,maxText,0,0.9564,NAN,0.95,0.95,0.9,0.94,0.76,0.99,0.99
maxText,disabledDaysText,0,0.0277,NAN,0.66,0.66,0.72,0.92,0.71,0.93,0.93
disabledDaysText,disabledDatesText,0.375,0.8956,0.6876,0.96,0.96,0.96,0.97,0.95,0.99,0.99
keywordMapper,buildinConstants,0.05,0.0347,NAN,0.41,0.41,0.65,0.81,0.59,0.77,0.77
VM,invokePartial,0.0358,0.1427,NAN,0.13,0.13,0.55,0.83,0.64,0.77,0.77
blendMode,currentBlendMode,0.75,0.9739,0.9186,0.79,0.79,0.88,0.81,0.58,0.79,0.79
touchmove,touchend,0.2323,0.8696,NAN,0.91,0.91,0.94,0.96,0.87,0.97,0.97
bindBuffer,ARRAY_BUFFER,0.2833,0.6348,NAN,0.51,0.51,0.81,0.96,0.58,0.65,0.65
click,mousedown,0.7857,0.9254,0.3079,0.57,0.57,0.69,0.8,0.61,0.91,0.91
files,players,0.159,0.1698,NAN,0.26,0.26,0.51,0.4,0.34,0.8,0.8
_owner,nextElement,0.025,0.0347,NAN,0.28,0.28,0.59,0.79,0.39,0.36,0.36
child,face,0.125,0.3694,NAN,0.12,0.12,0.46,0.19,0.22,0.5,0.5
displayMsg,emptyMsg,0.2045,0.6679,NAN,0.47,0.47,0.8,0.77,0.66,0.88,0.88
pseudoElements,pseudoClasses,0.475,0.7913,NAN,0.71,0.71,0.75,0.77,0.54,0.99,0.99
lastName,firstName,0.0625,0.9022,NAN,0.9,0.9,0.94,0.98,0.89,0.9,0.9
Int16Array,Uint16Array,0.453,0.951,NAN,0.91,0.91,0.91,0.92,0.59,0.83,0.83
startSymbol,endSymbol,0.047,0.9838,NAN,0.94,0.94,0.91,0.95,0.64,0.98,0.98
decrypt,ciphertext,0.3595,0.8369,NAN,0.63,0.63,0.77,0.83,0.63,0.58,0.58
rlocalProtocol,rurl,0.3235,0.5857,NAN,0.66,0.66,0.6,0.65,0.22,0.91,0.91
hSpace,popupFeatures,0.0177,0.1427,0,0.25,0.25,0.48,0.58,0.42,0.86,0.86
linkTab,alignMiddle,0.0625,0.0869,NAN,0.4,0.4,0.46,0.66,0.53,0,0
lockRatio,alignRight,0,0.1391,NAN,0.47,0.47,0.45,0.58,0.34,0.74,0.74
substr,substring,1,0.9303,0.8889,0.91,0.91,0.86,0.89,0.88,0.97,0.97
change,submit,0.4,0.426,NAN,0.59,0.59,0.67,0.59,0.45,0.82,0.82
columns,menus,0.4,0.5565,0.0404,0.35,0.35,0.5,0.44,0.13,0.52,0.52
deltaX,deltaY,0.2,0.8956,NAN,0.98,0.98,0.96,0.99,0.92,0.95,0.95
MINUTE,SECOND,0.125,0.9564,NAN,0.77,0.77,0.85,0.93,0.9,0.99,0.99
onDragStart,onDragEnd,0.1457,0.9783,NAN,0.95,0.95,0.93,0.9,0.77,0.96,0.96
expect,bp,0.0578,0.0368,0.1062,0.05,0.05,0.48,0.19,-0.15,0.07,0.07
items,files,0.575,0.5826,0.7505,0.3,0.3,0.59,0.51,0.41,0.77,0.77
disabled,visible,0.175,0.713,NAN,0.36,0.36,0.51,0.53,0.49,0.74,0.74
round,sqrt,0.0227,0.5732,NAN,0.6,0.6,0.78,0.67,0.61,0.76,0.76
teal,lightgrey,0.25,0.8696,NAN,0.25,0.25,0.7,0.65,0.7,0,0
navy,lightblue,0.3638,0.9525,0.231,0.38,0.38,0.76,0.78,0.78,0.9,0.9
navy,magenta,0.25,0.905,NAN,0.38,0.38,0.74,0.67,0.36,0.87,0.87
equal,cut,0.0455,0.1224,NAN,0.09,0.09,0.51,0.31,0.01,0.34,0.34
start,begin,0.925,0.9739,NAN,0.58,0.58,0.67,0.57,0.55,0.85,0.85
visible,showing,0.85,0.9303,NAN,0.55,0.55,0.7,0.51,0.46,0.66,0.66
arrayClass,boolClass,0.1922,0.6387,NAN,0.65,0.65,0.76,0.81,0.47,0.97,0.97
me,br,0.159,0.0986,NAN,0.06,0.06,0.62,0.21,0.07,0.46,0.46
dispatchIDs,_dispatchIDs,0.7955,0.9525,NAN,0.78,0.78,0.88,0.88,0.69,0.43,0.43
getAnimation,depot,0.0227,0.0277,NAN,0.19,0.19,0.57,0.81,0.65,0.59,0.59
cx,sx,0.4107,0.4409,NAN,0.45,0.45,0.77,0.54,0.29,0.68,0.68
records,entries,0.9062,0.8857,1,0.41,0.41,0.53,0.43,0.42,0.76,0.76
adjusted_scale,rangy,0.3333,0.4782,0.242,0.27,0.27,0.39,0.22,-0.04,0,0
vSpace,advisoryTitleInputLabel,0.0578,0.0569,0.0478,0.38,0.38,0.47,0.51,0.37,0,0
start,searches,0.1043,0.1521,NAN,0.21,0.21,0.47,0.39,0.15,0.45,0.45
len,ln,0.85,0.8956,0.8428,0.66,0.66,0.75,0.75,0.69,0.85,0.85
self,that,0.175,0.3999,0.4594,0.28,0.28,0.7,0.65,0.64,0.88,0.88
y,z,0.475,0.6608,NAN,0.58,0.58,0.86,0.73,0.68,0.84,0.84
element,elm,0.8862,0.9525,NAN,0.58,0.58,0.73,0.69,0.68,0.84,0.84
id,userid,0.8182,0.8578,0.8708,0.56,0.56,0.67,0.46,0.23,0.77,0.77
miny,ypos,0.2955,0.6916,0.0247,0.27,0.27,0.7,0.54,0.24,0.75,0.75
newLength,Group,0.0295,0.0177,NAN,0.15,0.15,0.41,0.26,0.04,0.32,0.32
colspan,assignTo,0.0588,0.0793,NAN,0.1,0.1,0.39,0.18,0.04,0.08,0.08
setScrollTop,prefixWith,0.0973,0.1594,NAN,-0.15,-0.15,0.22,0.03,-0.13,0.84,0.84
getMinutes,getUTCMinutes,0.797,0.9348,0.9794,0.93,0.93,0.87,0.83,0.67,0.95,0.95
FONTDATA,FONTS,0.5833,0.8912,NAN,0.92,0.92,0.92,0.98,0.95,0.75,0.75
ReactEmptyComponent,renderToStaticMarkup,0.0735,0.0485,NAN,0.6,0.6,0.65,0.61,0.46,0.55,0.55
VERSION,geoJson,0.0938,0.1195,0.1606,0.16,0.16,0.32,0.08,-0.02,0.48,0.48
s1,s2,0.4615,0.7592,NAN,0.97,0.97,0.96,0.98,0.89,0.89,0.89
precondition,prereq,0.8393,0.9254,0.8173,0.57,0.57,0.75,0.93,0.72,0.86,0.86
setAttributeNode,createAttribute,0.3928,0.7764,NAN,0.69,0.69,0.74,0.95,0.77,0.75,0.75
Connection,Client,0.2082,0.413,NAN,0.74,0.74,0.74,0.88,0.74,0.81,0.81
dom__FixedSizeListIterator,_dom_pos,0.225,0.5043,NAN,0.46,0.46,0.64,0.94,0.9,0,0
v2,v3,0.2917,0.8043,NAN,0.85,0.85,0.9,0.9,0.5,0.91,0.91
onAdd,onRemove,0.025,0.9739,NAN,0.81,0.81,0.86,0.91,0.8,0.94,0.94
destroy,clear,0.675,0.8435,0.8296,0.55,0.55,0.69,0.73,0.65,0.93,0.93
panelTitle,panelTitle1,0.923,0.9598,0.625,0.92,0.92,0.96,0.92,0.83,0,0
__dependency1__,__dependency2__,0.4375,0.9186,NAN,1,1,0.98,0.94,0.83,0.82,0.82
minVal,minValue,0.9583,0.9564,0.6913,0.84,0.84,0.89,0.6,0.4,0.77,0.77
ace,__ace_shadowed__,0.5,0.8174,0.3489,0.44,0.44,0.66,0.86,0.61,0,0
m1,m2,0.6607,0.8696,NAN,0.94,0.94,0.93,0.93,0.76,0.84,0.84
latitude,longitude,0.0207,0.9564,NAN,0.91,0.91,0.94,0.99,0.84,0.96,0.96
cols,rects,0.175,0.4521,NAN,0.41,0.41,0.66,0.37,0.28,0.76,0.76
resetSize,popupFeatures,0.0358,0.1615,NAN,0.13,0.13,0.49,0.53,0.34,0.75,0.75
trim,separatedList,0.2045,0.336,NAN,0.3,0.3,0.36,0.32,0.13,0,0
parentWindow,scanner,0.0682,0.0039,NAN,0.14,0.14,0.34,-0.16,-0.08,0.26,0.26
targetPopup,popupResizable,0.2955,0.6204,NAN,0.51,0.51,0.63,0.87,0.75,0,0
popupToolbar,popupDependent,0.173,0.6186,0.3865,0.63,0.63,0.75,0.84,0.74,0,0
split,shim,0.2728,0.3595,0.242,0.21,0.21,0.45,0.26,0.11,0.35,0.35
generalTab,advancedTab,0.3333,0.8696,0,0.63,0.63,0.76,0.96,0.9,0.98,0.98
ELEMENT_NODE,TEXT_NODE,0.4808,0.8195,0.8147,0.82,0.82,0.79,0.88,0.82,0.94,0.94
rlocalProtocol,rprotocol,0.6785,0.8881,0.9428,0.92,0.92,0.78,0.71,0.27,0.81,0.81
listeners,cbs,0.125,0.1391,0.143,0.55,0.55,0.62,0.6,0.45,0.76,0.76
user,person,0.9375,0.8912,0.8462,0.55,0.55,0.73,0.73,0.43,0.81,0.81
onPlay,onPause,0.1608,0.8881,NAN,0.83,0.83,0.83,0.79,0.54,0.94,0.94
re,destruct,0.0207,0.0652,0.0247,0.12,0.12,0.45,0.06,0.03,0.46,0.46
translateX,translateY,0.225,0.9478,NAN,0.98,0.98,0.97,0.97,0.76,0.94,0.94
click,dblclick,0.2333,0.9653,NAN,0.75,0.75,0.75,0.66,0.51,0.82,0.82
columns,requests,0.1362,0.1224,NAN,0.24,0.24,0.49,0.31,0.12,0.75,0.75
oMatchesSelector,msMatchesSelector,0.6667,0.8912,0.4824,0.92,0.92,0.96,0.95,0.79,1,1
a11,b12,0.2308,0.6788,0.1062,0.76,0.76,0.87,0.85,0.66,0.93,0.93
pink,brown,0.0385,0.7391,NAN,0.38,0.38,0.74,0.8,0.68,0.91,0.91
floor,abs,0.1138,0.4545,NAN,0.65,0.65,0.82,0.78,0.73,0.9,0.9
math,miny,0.0227,0.3123,NAN,0.47,0.47,0.63,0.35,0.13,0.35,0.35
toggle,isLength,0.0177,0.0123,0.1147,0.19,0.19,0.42,0.18,-0.1,0.32,0.32
found,rawFunc,0.0385,0.0968,NAN,0.06,0.06,0.42,0.41,0.08,0,0
material,light,0.0832,0.3392,NAN,0.51,0.51,0.65,0.65,0.42,0.71,0.71
controller,mutator,0.325,0.3739,0.242,0.23,0.23,0.31,0.2,-0.01,0.55,0.55
files,locations,0.5,0.5494,NAN,0.25,0.25,0.46,0.23,0.27,0.82,0.82
files,problems,0.0535,0.0684,NAN,0.29,0.29,0.56,0.47,0.36,0.78,0.78
frames,markers,0.2115,0.5787,NAN,0.11,0.11,0.35,0.13,0.19,0.69,0.69
objects,shortcuts,0.1138,0.1461,NAN,0.2,0.2,0.38,0.31,0.18,0.69,0.69
a01,b11,0.173,0.4581,NAN,0.8,0.8,0.9,0.83,0.59,0.94,0.94
defHeaders,defHeaderName,0.5,0.9763,0.8124,0.82,0.82,0.9,0.92,0.77,0.5,0.5
right,bottom,0.1043,0.7827,NAN,0.69,0.69,0.84,0.84,0.73,0.93,0.93
count,total,0.8462,0.7994,0.7913,0.57,0.57,0.69,0.52,0.54,0.83,0.83
click,mouseup,0.5168,0.9131,0.143,0.51,0.51,0.67,0.74,0.55,0.9,0.9
inputs,resources,0.3845,0.6186,NAN,0.29,0.29,0.45,0.37,0.37,0.78,0.78
advice,alternative,0.075,0.113,NAN,0.26,0.26,0.35,0.28,0.1,0.71,0.71
abs,sqrt,0.0227,0.7154,NAN,0.61,0.61,0.81,0.78,0.62,0.89,0.89
cells,segments,0.6155,0.7391,NAN,0.3,0.3,0.5,0.35,0.25,0.72,0.72
place,written,0.025,0.113,NAN,0.15,0.15,0.41,0.1,-0.1,0.42,0.42
names,sources,0.575,0.5826,0.3489,0.37,0.37,0.54,0.48,0.36,0.81,0.81
minx,ymax,0.1043,0.6739,0.0404,0.58,0.58,0.79,0.66,0.31,0.83,0.83
segments,annotations,0.25,0.3178,NAN,0.27,0.27,0.39,0.33,0.19,0.74,0.74
ELEMENT_ARRAY_BUFFER,bufferData,0.475,0.8696,NAN,0.51,0.51,0.75,0.9,0.63,0.55,0.55
body,currants,0.15,0.2173,0.276,0.26,0.26,0.47,0.15,-0.06,0.5,0.5
cfg,conf,1,0.905,0.9428,0.43,0.43,0.66,0.59,0.4,0.73,0.73
userA,userB,0.5192,0.9397,0.7958,0.95,0.95,0.94,0.98,0.93,0.97,0.97
keyup,deferId,0.075,0.0869,NAN,0.19,0.19,0.46,0.31,0.08,0.43,0.43
columns,datasets,0.2045,0.4545,NAN,0.48,0.48,0.53,0.49,0.51,0.71,0.71
getBorderWidth,getPadding,0.4317,0.8103,0.5999,0.79,0.79,0.76,0.89,0.69,0.97,0.97
obj1,obj2,0.6362,0.7866,0.5967,0.97,0.97,0.96,0.97,0.84,0.85,0.85
limit,exponent,0.1818,0.336,NAN,0.19,0.19,0.5,0.35,0.3,0.77,0.77
camera,texture,0.0625,0.1738,NAN,0.23,0.23,0.56,0.52,0.23,0.62,0.62
selected,active,0.8125,0.9131,0.892,0.37,0.37,0.54,0.52,0.49,0.77,0.77
rows,columns,0.025,0.9217,NAN,0.72,0.72,0.78,0.82,0.67,0.86,0.86
body,agg,0.05,0.0869,NAN,0.17,0.17,0.55,0.18,0,0.36,0.36
ui,secret,0.0625,0.0652,NAN,0.05,0.05,0.5,0.22,0,0.54,0.54
dataAndEvents,deepDataAndEvents,0.7143,0.851,0.8374,0.91,0.91,0.97,0.99,0.62,0.7,0.7
oDomRef,structuralType,0.0832,0,NAN,0.14,0.14,0.34,0.3,0.03,0.59,0.59
i,targ,NAN,NAN,0.0346,0.22,0.22,0.68,0.27,0.17,0.45,0.45
allocate,contextmenu,NAN,NAN,0.0831,0.02,0.02,0.27,0.18,0.06,0.47,0.47
objects,records,NAN,NAN,0.8931,0.5,0.5,0.58,0.52,0.54,0.77,0.77
λ0,φ0,NAN,NAN,0.242,0.92,0.92,0.91,0.87,0.61,0,0
idx,indx,NAN,NAN,0.9617,0.67,0.67,0.7,0.48,0.33,0.77,0.77
idx,ridx,NAN,NAN,0.3234,0.55,0.55,0.77,0.51,0.43,0.74,0.74
ranges,codes,NAN,NAN,0.0404,0.49,0.49,0.55,0.39,0.3,0.67,0.67
topLevelTarget,topLevelTargetID,NAN,NAN,0.7658,0.91,0.91,0.94,0.87,0.58,0.63,0.63
store,storage,NAN,NAN,0.7382,0.72,0.72,0.71,0.7,0.51,0.77,0.77
indices,positions,NAN,NAN,0.983,0.29,0.29,0.59,0.49,0.5,0.71,0.71
files,filenames,NAN,NAN,0.9186,0.8,0.8,0.76,0.75,0.55,0.78,0.78
λ0,λ1,NAN,NAN,0.1838,0.92,0.92,0.95,0.95,0.71,0,0
cosφ0,cosφ,NAN,NAN,0.7597,0.94,0.94,0.97,0.85,0.6,0,0
maxLine,maxLineLength,NAN,NAN,0.7225,0.82,0.82,0.88,0.9,0.75,0.83,0.83
alignCenter,alignMiddle,NAN,NAN,0.5563,0.87,0.87,0.9,0.89,0.81,0.94,0.94
targetFrame,targetFrameName,NAN,NAN,0.935,0.91,0.91,0.93,0.89,0.71,0.81,0.81
angle,radians,NAN,NAN,0.9052,0.63,0.63,0.78,0.79,0.61,0.83,0.83
events,rchecked,NAN,NAN,0.1819,0.19,0.19,0.31,0.22,0,0.26,0.26
img,thumb,NAN,NAN,0.7658,0.45,0.45,0.6,0.43,0.36,0.7,0.7
PLACEHOLDER,vertexFormat,NAN,NAN,0.299,0.23,0.23,0.27,0.04,0,0.44,0.44
angle,theta,NAN,NAN,0.9186,0.52,0.52,0.74,0.83,0.54,0.85,0.85
foo,bar,NAN,NAN,0.8168,0.71,0.71,0.83,0.85,0.57,0.8,0.8
$behaviour,foldingRules,NAN,NAN,0.0831,0.51,0.51,0.64,0.86,0.73,0,0
foo,abc,NAN,NAN,0.8196,0.44,0.44,0.78,0.64,0.45,0.76,0.76
cols,domains,NAN,NAN,0.1819,0.19,0.19,0.47,0.25,0.14,0.72,0.72
CallExpression,BlockStatement,NAN,NAN,0.242,0.62,0.62,0.67,0.77,0.46,0.65,0.65
raw,movie,NAN,NAN,0.276,0.05,0.05,0.39,0.23,-0.02,0.31,0.31
err,er,NAN,NAN,0.8889,0.74,0.74,0.8,0.72,0.6,0.9,0.9
res,resp,NAN,NAN,0.9224,0.68,0.68,0.81,0.68,0.51,0.9,0.9
utils,util,NAN,NAN,0.9526,0.71,0.71,0.73,0.67,0.56,0.9,0.9
remove,focus,NAN,NAN,0.1062,0.27,0.27,0.6,0.59,0.54,0.75,0.75
items,records,NAN,NAN,0.7983,0.47,0.47,0.58,0.61,0.51,0.85,0.85
bindBuffer,ELEMENT_ARRAY_BUFFER,NAN,NAN,0.276,0.49,0.49,0.79,0.87,0.42,0.63,0.63
gray,silver,NAN,NAN,0.1147,0.4,0.4,0.77,0.85,0.44,0.82,0.82
get,facets,NAN,NAN,0.208,0.09,0.09,0.48,0.25,0.02,0.3,0.3
files,images,NAN,NAN,0.807,0.47,0.47,0.6,0.5,0.38,0.78,0.78
nodeLinkFn,childLinkFn,NAN,NAN,0.8763,0.84,0.84,0.89,0.95,0.71,0.75,0.75
b01,a03,NAN,NAN,0.0824,0.82,0.82,0.92,0.92,0.75,0.96,0.96
styleSelectLabel,tag_h4,NAN,NAN,0.1377,0.15,0.15,0.38,0.65,0.4,0,0
a24,a30,NAN,NAN,0.734,0.87,0.87,0.95,0.79,0.73,0.97,0.97
lightgreen,lightgrey,NAN,NAN,0.2172,0.94,0.94,0.97,0.95,0.97,0,0
id,sessionid,NAN,NAN,0.9169,0.41,0.41,0.55,0.41,0.2,0.71,0.71
expect,assume,NAN,NAN,0.7983,0.46,0.46,0.65,0.59,0.26,0.58,0.58
container,submenu,NAN,NAN,0.242,0.28,0.28,0.49,0.27,0.21,0.78,0.78
images,streams,NAN,NAN,0.0404,0.27,0.27,0.46,0.28,0.24,0.67,0.67
btnModify,btnSetValue,NAN,NAN,0.8292,0.6,0.6,0.75,0.9,0.79,0,0
setMinutes,setSeconds,NAN,NAN,0.0593,0.77,0.77,0.86,0.95,0.81,0.99,0.99
styleSelectLabel,cssClassInputLabel,NAN,NAN,0.8547,0.64,0.64,0.74,0.94,0.9,0,0
item,record,NAN,NAN,0.9662,0.29,0.29,0.57,0.54,0.41,0.77,0.77
destroy,dispose,NAN,NAN,0.3022,0.48,0.48,0.63,0.65,0.55,0.85,0.85
on,immediate,NAN,NAN,0.208,0.1,0.1,0.51,0.31,0.13,0.42,0.42
equals,same,NAN,NAN,0.7225,0.58,0.58,0.68,0.62,0.67,0.65,0.65
wrapper,scroller,NAN,NAN,0.0404,0.39,0.39,0.52,0.58,0.51,0.69,0.69
builtinConstants,buildinConstants,NAN,NAN,0.9023,0.91,0.91,0.92,0.92,0.82,0.97,0.97
